,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401212484,SMU,2567,winner,31,26.0,0.42857142857142855,0.0,544.0,367.0,0.7222222222222222,10.2,177.0,44.0,4.0,7,63,3.0,1.0,2.0,32:03
2,401236053,Arkansas St,2032,winner,35,26.0,0.46153846153846156,0.0,489.0,330.0,0.6578947368421053,8.7,159.0,33.0,4.8,4,58,2.0,1.0,1.0,25:44
4,401207113,UTSA,2636,winner,51,24.0,0.4117647058823529,0.0,499.0,169.0,0.7419354838709677,5.5,330.0,51.0,6.5,11,125,0.0,0.0,0.0,31:32
6,401234563,Georgia Tech,59,winner,16,24.0,0.5,1.0,438.0,277.0,0.6764705882352942,8.1,161.0,40.0,4.0,10,80,2.0,0.0,2.0,29:28
9,401215298,GA Southern,290,winner,27,20.0,0.3333333333333333,0.5,346.0,62.0,0.5,3.9,284.0,49.0,5.8,5,27,1.0,1.0,0.0,37:37
10,401239973,Tulane,2655,winner,27,22.0,0.09090909090909091,0.3333333333333333,394.0,191.0,0.4666666666666667,6.4,203.0,40.0,5.1,5,60,1.0,1.0,0.0,26:02
13,401236039,Texas Tech,2641,winner,35,35.0,0.6666666666666666,0.0,624.0,430.0,0.7307692307692307,8.3,194.0,43.0,4.5,13,104,1.0,0.0,1.0,33:04
14,401207124,Liberty,2335,winner,30,27.0,0.35714285714285715,0.75,487.0,133.0,0.6190476190476191,6.3,354.0,58.0,6.1,8,89,0.0,0.0,0.0,34:59
16,401212522,Navy,2426,winner,27,17.0,0.3125,0.5,350.0,146.0,0.5833333333333334,12.2,204.0,56.0,3.6,3,45,0.0,0.0,0.0,32:35
18,401215301,Louisiana,309,winner,34,23.0,0.21428571428571427,0.5,519.0,279.0,0.5675675675675675,7.5,240.0,39.0,6.2,4,54,2.0,0.0,2.0,29:50
20,401207106,Louisiana Tech,2348,winner,31,26.0,0.625,0.6666666666666666,381.0,218.0,0.6857142857142857,6.2,163.0,42.0,3.9,7,48,1.0,0.0,1.0,32:44
23,401234570,NC State,152,winner,45,24.0,0.46153846153846156,0.0,463.0,193.0,0.7083333333333334,8.0,270.0,49.0,5.5,6,65,1.0,0.0,1.0,30:59
25,401239885,UTEP,2638,winner,17,16.0,0.3333333333333333,0.5,293.0,195.0,0.6,7.8,98.0,34.0,2.9,4,58,0.0,0.0,0.0,29:58
27,401207134,UTSA,2636,winner,37,16.0,0.4117647058823529,0.0,391.0,303.0,0.5348837209302325,7.0,88.0,28.0,3.1,3,29,1.0,0.0,1.0,24:20
29,401215303,Louisiana,309,winner,20,18.0,0.45454545454545453,0.0,438.0,290.0,0.5454545454545454,8.8,148.0,25.0,5.9,6,55,1.0,0.0,1.0,24:46
30,401235996,Kansas St,2306,winner,38,10.0,0.18181818181818182,1.0,390.0,334.0,0.72,13.4,56.0,26.0,2.2,13,108,0.0,0.0,0.0,27:52
33,401234595,Pitt,221,winner,23,20.0,0.47368421052631576,0.5,376.0,220.0,0.6052631578947368,5.8,156.0,40.0,3.9,6,46,2.0,1.0,1.0,35:16
35,401207126,Liberty,2335,winner,36,31.0,0.5555555555555556,1.0,527.0,308.0,0.78125,9.6,219.0,47.0,4.7,4,40,0.0,0.0,0.0,37:21
36,401235994,Iowa State,66,winner,37,14.0,0.2727272727272727,0.0,423.0,211.0,0.782608695652174,9.2,212.0,28.0,7.6,3,25,1.0,1.0,0.0,27:06
38,401235995,Texas,251,winner,63,27.0,0.3125,1.0,476.0,262.0,0.6585365853658537,6.4,214.0,48.0,4.5,10,100,2.0,1.0,1.0,34:39
41,401241303,Boston College,103,winner,24,22.0,0.45454545454545453,0.0,297.0,210.0,0.6842105263157895,5.5,87.0,27.0,3.2,7,56,1.0,0.0,1.0,29:00
43,401237037,Texas A&M,245,winner,17,17.0,0.4,0.0,372.0,189.0,0.6071428571428571,6.8,183.0,27.0,6.8,8,50,3.0,3.0,0.0,26:01
44,401237036,Tennessee,2633,winner,31,21.0,0.08333333333333333,0.0,394.0,261.0,0.625,8.2,133.0,33.0,4.0,6,50,0.0,0.0,0.0,25:10
47,401235998,West Virginia,277,winner,27,18.0,0.2777777777777778,1.0,345.0,211.0,0.7142857142857143,5.0,134.0,39.0,3.4,12,102,4.0,2.0,2.0,31:53
