,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401520145,UTEP,2638,loser,14,22.0,0.25,0.3333333333333333,364.0,208.0,0.5862068965517241,7.2,156.0,43.0,3.6,5,55,3.0,1.0,2.0,34:38
2,401532392,Ohio,195,loser,13,25.0,0.4117647058823529,1.0,390.0,279.0,0.5098039215686274,5.5,111.0,31.0,3.6,6,55,3.0,0.0,3.0,32:36
4,401520147,Hawai’i,62,loser,28,19.0,0.2727272727272727,0.75,391.0,351.0,0.7714285714285715,10.0,40.0,25.0,1.6,7,59,2.0,0.0,2.0,31:22
6,401520146,FIU,2229,loser,17,8.0,0.25,0.0,182.0,4.0,0.35714285714285715,0.3,178.0,30.0,5.9,5,50,1.0,0.0,1.0,21:42
8,401531834,Rhode Island,227,loser,35,22.0,0.65,1.0,520.0,408.0,0.6,10.2,112.0,35.0,3.2,9,70,2.0,0.0,2.0,36:19
10,401520148,Nebraska,158,loser,10,18.0,0.45454545454545453,0.0,295.0,114.0,0.5789473684210527,6.0,181.0,37.0,4.9,7,55,4.0,1.0,3.0,29:18
12,401523987,Southern Utah,253,loser,21,11.0,0.38461538461538464,0.0,226.0,139.0,0.5,7.7,87.0,31.0,2.8,8,71,0.0,0.0,0.0,30:48
15,401525462,Georgia Tech,59,loser,34,23.0,0.46153846153846156,0.0,488.0,313.0,0.59375,9.8,175.0,38.0,4.6,2,20,2.0,1.0,1.0,30:06
17,401520170,Purdue,2509,loser,35,19.0,0.25,0.5,363.0,254.0,0.5666666666666667,8.5,109.0,30.0,3.6,4,35,0.0,0.0,0.0,23:27
19,401525464,Boston College,103,loser,24,19.0,0.35294117647058826,1.0,314.0,168.0,0.4473684210526316,4.4,146.0,28.0,5.2,10,93,1.0,0.0,1.0,23:07
21,401523994,TCU,2628,loser,42,27.0,0.5882352941176471,0.5,541.0,279.0,0.5714285714285714,6.6,262.0,37.0,7.1,10,78,2.0,0.0,2.0,25:27
22,401531387,Akron,2006,loser,21,13.0,0.25,1.0,279.0,205.0,0.5862068965517241,7.1,74.0,28.0,2.6,10,82,1.0,0.0,1.0,30:25
24,401531838,UAlbany,399,loser,17,19.0,0.25,0.5,300.0,194.0,0.5789473684210527,5.1,106.0,36.0,2.9,5,47,0.0,0.0,0.0,35:09
26,401520153,Maine,311,loser,12,27.0,0.3333333333333333,0.3333333333333333,378.0,213.0,0.4772727272727273,4.8,165.0,41.0,4.0,5,50,1.0,1.0,0.0,37:35
28,401520175,Army,349,loser,13,13.0,0.4,0.0,279.0,107.0,0.5,8.9,172.0,50.0,3.4,3,35,5.0,3.0,2.0,35:43
30,401525819,UTSA,2636,loser,14,22.0,0.3076923076923077,1.0,417.0,209.0,0.5,5.8,208.0,35.0,5.9,8,64,3.0,0.0,3.0,29:47
32,401525825,Texas Tech,2641,loser,33,26.0,0.4117647058823529,1.0,431.0,338.0,0.6595744680851063,7.2,93.0,33.0,2.8,7,69,1.0,0.0,1.0,25:58
34,401520155,Toledo,2649,loser,28,27.0,0.4666666666666667,1.0,416.0,230.0,0.5405405405405406,6.2,186.0,42.0,4.4,7,40,1.0,0.0,1.0,32:57
36,401532571,Idaho St,304,loser,28,24.0,0.4666666666666667,0.0,344.0,322.0,0.49206349206349204,5.1,22.0,17.0,1.3,6,50,3.0,0.0,3.0,25:32
39,401523999,Baylor,239,loser,13,14.0,0.2727272727272727,0.0,339.0,218.0,0.42857142857142855,7.8,121.0,29.0,4.2,5,35,2.0,0.0,2.0,23:43
41,401520215,Virginia Tech,259,loser,17,19.0,0.16666666666666666,0.5,286.0,275.0,0.45,6.9,11.0,22.0,0.5,3,25,2.0,0.0,2.0,21:59
43,401525498,Virginia,258,loser,35,16.0,0.3076923076923077,0.5,395.0,377.0,0.7692307692307693,14.5,18.0,35.0,0.5,8,80,1.0,0.0,1.0,29:22
44,401525490,Holy Cross,107,loser,28,21.0,0.4444444444444444,1.0,394.0,130.0,0.6666666666666666,8.7,264.0,39.0,6.8,11,99,1.0,1.0,0.0,28:31
46,401532396,New Hampshire,160,loser,42,24.0,0.42857142857142855,0.5,538.0,493.0,0.6153846153846154,9.5,45.0,14.0,3.2,8,73,2.0,1.0,1.0,28:11
49,401532397,N Illinois,2459,loser,11,19.0,0.5,0.0,360.0,297.0,0.6052631578947368,7.8,63.0,34.0,1.9,7,70,3.0,0.0,3.0,35:59
50,401531395,Texas St,326,loser,13,13.0,0.21428571428571427,0.5,242.0,211.0,0.5333333333333333,7.0,31.0,29.0,1.1,6,40,0.0,0.0,0.0,22:37
53,401520194,Iowa State,66,loser,13,19.0,0.3888888888888889,0.5,290.0,203.0,0.5227272727272727,4.6,87.0,31.0,2.8,2,24,1.0,0.0,1.0,33:30
54,401525495,App State,2026,loser,34,30.0,0.47058823529411764,0.6666666666666666,494.0,275.0,0.5116279069767442,6.4,219.0,44.0,5.0,7,70,1.0,0.0,1.0,33:39
57,401531419,FAU,2226,loser,10,13.0,0.3333333333333333,0.0,185.0,180.0,0.5348837209302325,4.2,5.0,15.0,0.3,5,64,2.0,0.0,2.0,22:47
58,401531842,Louisiana,309,loser,31,24.0,0.42857142857142855,0.6666666666666666,454.0,285.0,0.6944444444444444,7.9,169.0,40.0,4.2,10,70,0.0,0.0,0.0,37:31
61,401532401,Buffalo,2084,loser,37,23.0,0.45454545454545453,0.6666666666666666,362.0,265.0,0.8,8.8,97.0,30.0,3.2,8,56,1.0,1.0,0.0,25:46
62,401532399,Morgan St,2415,loser,21,17.0,0.125,0.5,231.0,152.0,0.45454545454545453,4.6,79.0,39.0,2.0,5,51,3.0,1.0,2.0,32:45
64,401520189,North Texas,249,loser,39,26.0,0.35714285714285715,0.5,548.0,301.0,0.6,8.6,247.0,47.0,5.3,3,35,3.0,1.0,2.0,32:16
67,401525496,Pitt,221,loser,21,18.0,0.35714285714285715,0.6666666666666666,262.0,179.0,0.3125,5.6,83.0,29.0,2.9,5,35,1.0,1.0,0.0,25:17
68,401520206,MTSU,2393,loser,19,16.0,0.5,0.6666666666666666,285.0,219.0,0.6111111111111112,6.1,66.0,29.0,2.3,6,42,0.0,0.0,0.0,28:00
71,401524002,Texas Tech,2641,loser,30,27.0,0.5833333333333334,0.5,456.0,282.0,0.631578947368421,7.4,174.0,32.0,5.4,6,65,4.0,1.0,3.0,27:45
