,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
1,1,401014972,2018,1,regular,2018-08-25T23:00:00.000Z,False,True,False,False,20050,3895,Rice Stadium,242,Rice,fbs,Conference USA,31,"[13, 6, 0, 12]",0.416111979769047,,,2504,Prairie View A&M,fcs,SWAC,28,"[0, 21, 7, 0]",0.5838880202309529,,,5.6012773743,https://www.youtube.com/watch?v=z2VFteZqBBw,,3,True
6,6,401021651,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,23088,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,24,"[0, 14, 0, 10]",0.869590187971506,,,338,Kennesaw State,fcs,Big South,20,"[7, 7, 6, 0]",0.130409812028494,,,5.8512641491,https://www.youtube.com/watch?v=kUls9PpCkuc,,4,True
9,9,401013086,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,False,15478,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,17,"[0, 0, 14, 3, 0]",0.2196613212325033,1390.0,1393.0,154,Wake Forest,fbs,ACC,23,"[0, 7, 3, 7, 6]",0.7803386787674967,1591.0,1588.0,9.7884823983,https://www.youtube.com/watch?v=9Pgaey84Fhw,,-6,True
12,12,401013342,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,True,47410,3907,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,27,"[14, 3, 7, 3]",0.1520658000204693,1555.0,1557.0,77,Northwestern,fbs,Big Ten,31,"[14, 17, 0, 0]",0.8479341999795307,1691.0,1689.0,6.6741715963,https://www.youtube.com/watch?v=6zZEHpc246A,,-4,True
13,13,401021655,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,False,10137,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,34,"[7, 9, 10, 8]",0.5720859305615573,,,2545,SE Louisiana,fcs,Southland,31,"[14, 7, 0, 10]",0.4279140694384427,,,8.4160129207,,,3,True
15,15,401022511,2018,1,regular,2018-08-31T02:00:00.000Z,False,True,False,False,12675,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,38,"[14, 7, 10, 7]",0.2255818432658651,,,302,UC Davis,fcs,Big Sky,44,"[14, 21, 2, 7]",0.7744181567341348,,,5.5811874724,,,-6,True
18,18,401012880,2018,1,regular,2018-08-31T23:00:00.000Z,False,True,False,False,73114,3936,Spartan Stadium,127,Michigan State,fbs,Big Ten,38,"[6, 14, 7, 11]",0.906183590742433,1623.0,1624.0,328,Utah State,fbs,Mountain West,31,"[7, 7, 10, 7]",0.0938164092575669,1475.0,1474.0,4.1366972475,https://www.youtube.com/watch?v=BtDvvMyLLAg,,7,True
24,24,401012872,2018,1,regular,2018-09-01T16:00:00.000Z,False,True,True,False,47641,3719,Northwest Stadium,120,Maryland,fbs,Big Ten,34,"[14, 10, 0, 10]",0.9131500976054452,1302.0,1336.0,251,Texas,fbs,Big 12,29,"[7, 15, 7, 0]",0.0868499023945547,1657.0,1623.0,9.13837292739999,https://www.youtube.com/watch?v=kD6TOpVQ5i0,,5,True
28,28,401019473,2018,1,regular,2018-09-01T16:00:00.000Z,False,True,False,False,32357,3806,Lincoln Financial Field,218,Temple,fbs,American Athletic,17,"[3, 7, 7, 0]",0.0801801801065198,,,222,Villanova,fcs,CAA,19,"[13, 0, 0, 6]",0.9198198198934802,,,6.43306846939999,https://www.youtube.com/watch?v=2WuHl4W40Nw,,-2,True
33,33,401012804,2018,1,regular,2018-09-01T16:00:00.000Z,False,True,False,False,31898,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,31,"[3, 0, 21, 7]",0.8340153107033903,1305.0,1305.0,2309,Kent State,fbs,Mid-American,24,"[7, 10, 7, 0]",0.1659846892966097,1129.0,1129.0,6.71988011069999,https://www.youtube.com/watch?v=2uMx20-ZiOE,,7,True
39,39,401020675,2018,1,regular,2018-09-01T18:00:00.000Z,False,True,False,False,18275,3876,Peden Stadium,195,Ohio,fbs,Mid-American,38,"[3, 14, 14, 7]",0.4527258093446935,,,47,Howard,fcs,MEAC,32,"[10, 12, 7, 3]",0.5472741906553065,,,3.8302068262,,,6,True
43,43,401012248,2018,1,regular,2018-09-01T19:30:00.000Z,False,True,True,False,70103,5348,Mercedes-Benz Stadium,2,Auburn,fbs,SEC,21,"[9, 6, 0, 6]",0.6081821946558714,1829.0,1840.0,264,Washington,fbs,Pac-12,16,"[3, 10, 0, 3]",0.3918178053441286,1839.0,1828.0,7.48070415839999,https://www.youtube.com/watch?v=9RBQOKEFC0c,,5,True
46,46,401013349,2018,1,regular,2018-09-01T19:30:00.000Z,False,True,False,False,105232,3632,Beaver Stadium,213,Penn State,fbs,Big Ten,45,"[7, 3, 14, 14, 7]",0.980509601522245,1923.0,1918.0,2026,App State,fbs,Sun Belt,38,"[10, 0, 0, 28, 0]",0.019490398477755,1652.0,1657.0,6.47689498139999,https://www.youtube.com/watch?v=aMSClbb0CXw,,7,True
49,49,401012684,2018,1,regular,2018-09-01T20:00:00.000Z,False,True,False,False,42168,3831,California Memorial Stadium,25,California,fbs,Pac-12,24,"[7, 10, 7, 0]",0.8968200177849878,1556.0,1560.0,153,North Carolina,fbs,ACC,17,"[0, 0, 3, 14]",0.1031799822150122,1461.0,1457.0,3.2874759002,https://www.youtube.com/watch?v=2FHV0wgV0CE,,7,True
56,56,401014975,2018,1,regular,2018-09-01T22:00:00.000Z,False,True,False,False,15827,3996,Yager Stadium,193,Miami (OH),fbs,Mid-American,28,"[0, 7, 7, 14]",0.2914353097621623,1385.0,1379.0,276,Marshall,fbs,Conference USA,35,"[14, 7, 7, 7]",0.7085646902378377,1476.0,1482.0,5.2033164459,https://www.youtube.com/watch?v=5XJe-85pzBM,,-7,True
62,62,401013057,2018,1,regular,2018-09-01T23:00:00.000Z,False,True,False,False,50063,3636,Bill Snyder Family Stadium,2306,Kansas State,fbs,Big 12,27,"[3, 9, 0, 15]",0.5711801005392997,,,233,South Dakota,fcs,MVFC,24,"[10, 14, 0, 0]",0.4288198994607003,,,7.73617338379999,https://www.youtube.com/watch?v=gMbrkMbG29c,,3,True
64,64,401013048,2018,1,regular,2018-09-01T23:00:00.000Z,False,True,False,False,24305,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,23,"[7, 3, 0, 10, 3]",0.1557868834262069,,,2447,Nicholls,fcs,Southland,26,"[7, 3, 7, 3, 6]",0.844213116573793,,,9.41128064859999,https://www.youtube.com/watch?v=sC1A1nORhXo,,-3,True
66,66,401014974,2018,1,regular,2018-09-01T23:00:00.000Z,False,True,False,False,13457,3797,Ladd Peebles Stadium,6,South Alabama,fbs,Sun Belt,26,"[0, 7, 6, 13]",0.1734663382982781,1233.0,1245.0,2348,Louisiana Tech,fbs,Conference USA,30,"[7, 13, 3, 7]",0.8265336617017218,1537.0,1525.0,3.39524150609999,,,-4,True
76,76,401012888,2018,1,regular,2018-09-01T23:30:00.000Z,False,True,False,False,77622,3855,Notre Dame Stadium,87,Notre Dame,fbs,FBS Independents,24,"[14, 7, 3, 0]",0.92783043145901,1723.0,1731.0,130,Michigan,fbs,Big Ten,17,"[0, 10, 0, 7]",0.0721695685409899,1701.0,1693.0,4.2446507286,https://www.youtube.com/watch?v=reeW5x_QkMU,,7,True
83,83,401012676,2018,1,regular,2018-09-02T02:45:00.000Z,False,True,False,False,51002,3619,Arizona Stadium,12,Arizona,fbs,Pac-12,23,"[0, 10, 0, 13]",0.252378224443892,1513.0,1496.0,252,BYU,fbs,FBS Independents,28,"[0, 7, 21, 0]",0.747621775556108,1395.0,1412.0,5.07418613049999,https://www.youtube.com/watch?v=_no6VO2XeGI,,-5,True
85,85,401079833,2018,1,regular,2018-09-02T19:30:00.000Z,False,True,False,False,38640,3699,Dowdy-Ficklen Stadium,151,East Carolina,fbs,American Athletic,23,"[3, 14, 3, 3]",0.4801521413827188,,,2448,North Carolina A&T,fcs,MEAC,28,"[7, 7, 0, 14]",0.5198478586172812,,,6.9631012532,https://www.youtube.com/watch?v=6i-7cmf6uCU,,-5,True
