,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
1,401110723,Florida,57,winner,24,17.0,0.2,1.0,304.0,254.0,0.6296296296296297,9.4,50.0,28.0,1.8,9,100,4.0,2.0,2.0,23:47
3,401114164,Hawai’i,62,winner,45,31.0,0.5,0.6666666666666666,595.0,436.0,0.7083333333333334,9.1,159.0,30.0,5.3,7,54,6.0,2.0,4.0,37:56
5,401117855,UConn,41,winner,24,26.0,0.38461538461538464,0.0,392.0,158.0,0.6666666666666666,7.5,234.0,60.0,3.9,7,68,2.0,1.0,1.0,35:53
6,401114246,Cent Arkansas,2110,winner,35,17.0,0.38461538461538464,0.5,424.0,404.0,0.7241379310344828,13.9,20.0,29.0,0.7,6,46,0.0,0.0,0.0,24:49
9,401114237,UAB,5,winner,24,16.0,0.07692307692307693,0.0,290.0,114.0,0.4,5.7,176.0,46.0,3.8,8,72,2.0,2.0,0.0,31:51
11,401112229,Minnesota,135,winner,28,17.0,0.46153846153846156,1.0,308.0,176.0,0.7222222222222222,9.8,132.0,42.0,3.1,3,40,1.0,0.0,1.0,32:12
13,401114238,Army,349,winner,14,17.0,0.6,0.5,284.0,53.0,0.375,6.6,231.0,56.0,4.1,4,26,1.0,1.0,0.0,34:51
15,401112430,Wake Forest,154,winner,38,30.0,0.5416666666666666,0.4,579.0,401.0,0.723404255319149,8.5,178.0,58.0,3.1,1,15,1.0,1.0,0.0,36:13
17,401112262,Nevada,2440,winner,34,19.0,0.2777777777777778,1.0,404.0,295.0,0.5769230769230769,5.7,109.0,25.0,4.4,11,95,0.0,0.0,0.0,28:37
19,401112096,Kansas,2305,winner,24,20.0,0.3333333333333333,0.0,344.0,241.0,0.6896551724137931,8.3,103.0,34.0,3.0,7,49,3.0,3.0,0.0,28:35
20,401112431,Boise St,68,winner,36,38.0,0.5263157894736842,0.0,621.0,407.0,0.5882352941176471,8.0,214.0,57.0,3.8,6,35,3.0,2.0,1.0,40:03
23,401110726,Memphis,235,winner,15,22.0,0.3333333333333333,0.6,364.0,172.0,0.7419354838709677,5.5,192.0,51.0,3.8,10,75,1.0,0.0,1.0,38:41
25,401112085,Iowa State,66,winner,29,26.0,0.3888888888888889,0.5,463.0,278.0,0.7317073170731707,6.8,185.0,45.0,4.1,5,50,1.0,1.0,0.0,32:05
27,401112143,West Virginia,277,winner,20,13.0,0.3333333333333333,1.0,294.0,260.0,0.6428571428571429,6.2,34.0,24.0,1.4,6,35,0.0,0.0,0.0,29:06
28,401110730,Georgia St,2247,winner,38,24.0,0.5882352941176471,0.5,352.0,139.0,0.4583333333333333,5.8,213.0,53.0,4.0,5,31,1.0,1.0,0.0,30:34
30,401119256,E Michigan,2199,winner,30,20.0,0.45454545454545453,1.0,291.0,188.0,0.9090909090909091,8.5,103.0,35.0,2.9,5,32,1.0,1.0,0.0,27:04
33,401110729,North Carolina,153,winner,24,23.0,0.3125,0.5,483.0,245.0,0.625,10.2,238.0,52.0,4.6,10,90,1.0,1.0,0.0,33:42
35,401110721,Arkansas,8,winner,20,26.0,0.3333333333333333,1.0,395.0,191.0,0.5142857142857142,5.5,204.0,42.0,4.9,7,70,1.0,0.0,1.0,33:38
37,401112435,Boston College,103,winner,35,18.0,0.47368421052631576,0.5,432.0,275.0,0.5555555555555556,10.2,157.0,48.0,3.3,6,32,1.0,0.0,1.0,26:02
39,401117495,New Mexico,167,winner,39,20.0,0.06666666666666667,0.0,485.0,340.0,0.45,8.5,145.0,32.0,4.5,9,90,0.0,0.0,0.0,26:12
40,401117858,SMU,2567,winner,37,29.0,0.5294117647058824,0.5,508.0,360.0,0.6122448979591837,7.3,148.0,45.0,3.3,5,50,1.0,0.0,1.0,35:14
43,401114242,Old Dominion,295,winner,24,20.0,0.46153846153846156,1.0,292.0,158.0,0.7083333333333334,6.6,134.0,39.0,3.4,6,60,2.0,0.0,2.0,31:14
45,401110722,Auburn,2,winner,27,21.0,0.4117647058823529,1.0,383.0,177.0,0.40625,5.5,206.0,43.0,4.8,7,60,2.0,0.0,2.0,27:32
47,401110728,Wyoming,2751,winner,37,16.0,0.3333333333333333,0.0,389.0,92.0,0.375,5.8,297.0,42.0,7.1,5,30,0.0,0.0,0.0,28:50
49,401114244,UTEP,2638,winner,36,20.0,0.45454545454545453,0.0,508.0,268.0,0.5,13.4,240.0,46.0,5.2,6,75,2.0,1.0,1.0,34:00
51,401117496,San Diego St,21,winner,6,14.0,0.25,0.3333333333333333,238.0,108.0,0.5333333333333333,3.6,130.0,43.0,3.0,2,10,1.0,1.0,0.0,32:02
53,401114218,USC,30,winner,31,25.0,0.46153846153846156,0.0,447.0,272.0,0.7380952380952381,6.5,175.0,36.0,4.9,4,35,4.0,2.0,2.0,28:01
55,401114251,Boise St,68,winner,14,22.0,0.5882352941176471,0.0,437.0,282.0,0.6470588235294118,8.3,155.0,47.0,3.3,3,36,2.0,1.0,1.0,39:12
57,401119261,Kent State,2309,winner,26,16.0,0.4,1.0,337.0,192.0,0.7391304347826086,8.3,145.0,36.0,4.0,7,70,2.0,2.0,0.0,20:26
59,401112223,Michigan,130,winner,24,23.0,0.5625,0.3333333333333333,340.0,232.0,0.6451612903225806,7.5,108.0,45.0,2.4,9,58,3.0,3.0,0.0,28:25
61,401112441,Georgia Tech,59,winner,14,21.0,0.3333333333333333,0.0,257.0,76.0,0.6666666666666666,3.6,181.0,49.0,3.7,2,20,2.0,1.0,1.0,32:35
63,401112239,Colorado,38,winner,34,22.0,0.35294117647058826,1.0,464.0,375.0,0.6829268292682927,9.1,89.0,37.0,2.4,9,65,2.0,1.0,1.0,30:36
64,401112146,Illinois,356,winner,31,21.0,0.5454545454545454,0.0,357.0,227.0,0.6857142857142857,6.5,130.0,35.0,3.7,9,98,3.0,2.0,1.0,29:15
67,401114250,LA Tech,2348,winner,20,20.0,0.3333333333333333,0.0,390.0,220.0,0.68,8.8,170.0,41.0,4.1,6,38,0.0,0.0,0.0,29:15
69,401112440,Florida St,52,winner,45,30.0,0.5263157894736842,0.0,501.0,282.0,0.75,7.1,219.0,50.0,4.4,11,108,3.0,1.0,2.0,29:19
71,401121936,GA Southern,290,winner,26,16.0,0.23076923076923078,0.0,458.0,63.0,0.4444444444444444,7.0,395.0,52.0,7.6,7,67,1.0,1.0,0.0,32:17
73,401121937,Georgia St,2247,winner,48,29.0,0.5454545454545454,0.0,566.0,362.0,0.7837837837837838,9.8,204.0,39.0,5.2,7,57,0.0,0.0,0.0,27:14
74,401114248,Western KY,98,winner,20,17.0,0.38461538461538464,0.0,339.0,241.0,0.5757575757575758,7.3,98.0,35.0,2.8,7,60,2.0,0.0,2.0,33:09
76,401110783,BYU,252,winner,29,18.0,0.38461538461538464,0.0,339.0,232.0,0.6333333333333333,7.7,107.0,30.0,3.6,7,63,0.0,0.0,0.0,26:01
78,401112097,Coastal Car,324,winner,12,20.0,0.1111111111111111,1.0,291.0,119.0,0.5714285714285714,8.5,172.0,49.0,3.5,4,31,0.0,0.0,0.0,34:26
80,401110778,LSU,99,winner,45,28.0,0.5,0.0,573.0,471.0,0.7948717948717948,12.1,102.0,29.0,3.5,6,65,1.0,0.0,1.0,26:07
83,401112443,North Carolina,153,winner,28,22.0,0.2,1.0,389.0,292.0,0.68,11.7,97.0,36.0,2.7,1,5,0.0,0.0,0.0,24:37
84,401112230,Minnesota,135,winner,38,24.0,0.6,1.0,380.0,234.0,0.6956521739130435,10.2,146.0,52.0,2.8,7,65,3.0,3.0,0.0,33:41
