,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
1,401212484,Texas St,326,loser,24,22.0,0.375,0.6666666666666666,416.0,227.0,0.5384615384615384,5.8,189.0,38.0,5.0,4,43,2.0,1.0,1.0,27:57
3,401236053,Kansas St,2306,loser,31,21.0,0.09090909090909091,1.0,374.0,283.0,0.6,9.4,91.0,39.0,2.3,8,85,0.0,0.0,0.0,34:16
5,401207113,Texas St,326,loser,48,26.0,0.3333333333333333,0.5,474.0,349.0,0.675,8.7,125.0,37.0,3.4,6,55,2.0,0.0,2.0,28:28
7,401234563,Florida St,52,loser,13,21.0,0.35294117647058826,0.6,307.0,198.0,0.5111111111111111,4.4,109.0,35.0,3.1,8,55,3.0,2.0,1.0,30:32
8,401215298,Campbell,2097,loser,26,17.0,0.38461538461538464,0.5,369.0,237.0,0.6296296296296297,8.8,132.0,31.0,4.3,11,95,0.0,0.0,0.0,26:04
11,401239973,South Alabama,6,loser,24,21.0,0.47058823529411764,0.0,386.0,321.0,0.5945945945945946,8.7,65.0,35.0,1.9,8,65,1.0,1.0,0.0,33:58
12,401236039,Houston Baptist,2277,loser,33,28.0,0.4666666666666667,0.5,600.0,572.0,0.6078431372549019,11.2,28.0,24.0,1.2,10,60,1.0,0.0,1.0,26:56
15,401207124,Western KY,98,loser,24,19.0,0.3,1.0,291.0,181.0,0.72,7.2,110.0,28.0,3.9,2,19,0.0,0.0,0.0,25:01
17,401212522,Tulane,2655,loser,24,18.0,0.15384615384615385,0.5,373.0,108.0,0.4,4.3,265.0,44.0,6.0,5,50,1.0,0.0,1.0,27:25
19,401215301,Georgia St,2247,loser,31,26.0,0.4,0.0,419.0,196.0,0.5641025641025641,5.0,223.0,52.0,4.3,6,38,2.0,1.0,1.0,30:10
21,401207106,Southern Miss,2572,loser,30,21.0,0.5833333333333334,0.5,393.0,264.0,0.75,8.3,129.0,30.0,4.3,5,45,1.0,0.0,1.0,27:16
22,401234570,Wake Forest,154,loser,42,32.0,0.4666666666666667,0.5,385.0,236.0,0.6388888888888888,6.6,149.0,49.0,3.0,3,15,1.0,1.0,0.0,29:01
24,401239885,Abilene Chrstn,2000,loser,13,15.0,0.16666666666666666,0.6666666666666666,308.0,209.0,0.6521739130434783,9.1,99.0,35.0,2.8,6,56,2.0,2.0,0.0,30:02
26,401207134,MTSU,2393,loser,35,27.0,0.4444444444444444,0.0,563.0,372.0,0.6458333333333334,7.8,191.0,41.0,4.7,8,82,2.0,0.0,2.0,35:40
28,401215303,GA Southern,290,loser,18,21.0,0.5714285714285714,0.5,447.0,255.0,0.6111111111111112,14.2,192.0,49.0,3.9,2,10,2.0,1.0,1.0,35:14
31,401235996,Oklahoma,201,loser,35,28.0,0.5833333333333334,0.5,517.0,387.0,0.7317073170731707,9.4,130.0,35.0,3.7,10,75,4.0,1.0,3.0,32:08
32,401234595,Louisville,97,loser,20,10.0,0.09090909090909091,0.5,223.0,107.0,0.42857142857142855,5.1,116.0,30.0,3.9,3,22,3.0,0.0,3.0,24:44
34,401207126,FIU,2229,loser,34,16.0,0.45454545454545453,0.5,304.0,136.0,0.55,6.8,168.0,31.0,5.4,15,127,0.0,0.0,0.0,22:39
37,401235994,TCU,2628,loser,34,27.0,0.5,0.0,498.0,399.0,0.675,10.0,99.0,44.0,2.3,10,66,2.0,1.0,1.0,32:54
39,401235995,Texas Tech,2641,loser,56,24.0,0.5,0.0,441.0,331.0,0.5961538461538461,6.4,110.0,24.0,4.6,4,15,3.0,0.0,3.0,25:21
40,401241303,Texas St,326,loser,21,21.0,0.4666666666666667,1.0,357.0,229.0,0.6551724137931034,7.9,128.0,40.0,3.2,7,61,1.0,0.0,1.0,31:00
42,401237037,Vanderbilt,238,loser,12,17.0,0.4117647058823529,1.0,255.0,150.0,0.6896551724137931,5.2,105.0,38.0,2.8,3,35,2.0,0.0,2.0,33:59
45,401237036,South Carolina,2579,loser,27,22.0,0.4,0.0,379.0,290.0,0.6410256410256411,7.4,89.0,35.0,2.5,4,40,2.0,1.0,1.0,34:50
46,401235998,Baylor,239,loser,21,15.0,0.25,0.5,256.0,229.0,0.6052631578947368,6.0,27.0,33.0,0.8,12,86,2.0,0.0,2.0,28:07
49,401236002,Texas,251,loser,31,16.0,0.5,1.0,388.0,236.0,0.4722222222222222,6.6,152.0,24.0,6.3,12,92,2.0,1.0,1.0,25:09
51,401234600,Pitt,221,loser,29,24.0,0.375,0.6666666666666666,503.0,411.0,0.55,10.3,92.0,37.0,2.5,13,125,0.0,0.0,0.0,30:00
52,401207141,UTSA,2636,loser,13,17.0,0.15384615384615385,0.3333333333333333,280.0,90.0,0.36,3.6,190.0,36.0,5.3,10,98,1.0,0.0,1.0,26:53
55,401234597,Boston College,103,loser,22,22.0,0.5294117647058824,1.0,353.0,313.0,0.6607142857142857,5.6,40.0,19.0,2.1,12,110,0.0,0.0,0.0,31:03
56,401212486,Memphis,235,loser,27,26.0,0.5882352941176471,1.0,501.0,296.0,0.6904761904761905,7.0,205.0,38.0,5.4,5,40,4.0,2.0,2.0,30:51
