,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
45,45,401119256,2019,1,regular,2019-08-31T19:30:00.000Z,False,True,False,False,14237,3654,Brooks Stadium (SC),324,Coastal Carolina,fbs,Sun Belt,23,"[10, 3, 0, 10]",0.1194629652236841,1256.0,1259.0,2199,Eastern Michigan,fbs,Mid-American,30,"[0, 7, 16, 7]",0.8805370347763158,1466.0,1463.0,5.16261689369999,,,-7,True
48,48,401110730,2019,1,regular,2019-08-31T19:30:00.000Z,False,True,False,False,85503,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,30,"[14, 3, 3, 10]",0.2713042563438635,1399.0,1372.0,2247,Georgia State,fbs,Sun Belt,38,"[7, 7, 7, 17]",0.7286957436561365,1265.0,1292.0,4.9993861006,https://www.youtube.com/watch?v=OSwuWNJJYB4,,-8,True
50,50,401112435,2019,1,regular,2019-08-31T20:00:00.000Z,False,True,False,True,35213,3615,"Alumni Stadium (Chestnut Hill, MA)",103,Boston College,fbs,ACC,35,"[7, 21, 0, 7]",0.9939153058646774,1591.0,1597.0,259,Virginia Tech,fbs,ACC,28,"[7, 7, 7, 7]",0.0060846941353226,1520.0,1514.0,6.4579152991,https://www.youtube.com/watch?v=OeF24HMVPKI,,7,True
53,53,401110721,2019,1,regular,2019-08-31T20:00:00.000Z,False,True,False,False,61055,3887,Razorback Stadium,8,Arkansas,fbs,SEC,20,"[10, 0, 7, 3]",0.993343514343468,,,2502,Portland State,fcs,Big Sky,13,"[3, 3, 0, 7]",0.0066564856565318,,,1.7088351196,https://www.youtube.com/watch?v=CmS-tcvje4c,,7,True
57,57,401117495,2019,1,regular,2019-08-31T22:00:00.000Z,False,True,False,False,13749,3971,University Stadium (NM),167,New Mexico,fbs,Mountain West,39,"[13, 9, 10, 7]",0.7104509100707297,,,2534,Sam Houston,fcs,Southland,31,"[0, 16, 7, 8]",0.2895490899292703,,,6.06397677849999,https://www.youtube.com/watch?v=jYECLRXipF0,,8,True
65,65,401117858,2019,1,regular,2019-08-31T23:00:00.000Z,False,True,False,False,22076,3625,Centennial Bank Stadium,2032,Arkansas State,fbs,Sun Belt,30,"[7, 2, 14, 7]",0.1527702868432156,1525.0,1502.0,2567,SMU,fbs,American Athletic,37,"[3, 13, 14, 7]",0.8472297131567843,1402.0,1425.0,8.0271848104,https://www.youtube.com/watch?v=fxI5FRv-AJ0,,-7,True
66,66,401114242,2019,1,regular,2019-08-31T23:00:00.000Z,False,True,False,False,21944,3918,S.B. Ballard Stadium,295,Old Dominion,fbs,Conference USA,24,"[14, 0, 3, 7]",0.973109618206123,,,2450,Norfolk State,fcs,MEAC,21,"[0, 6, 0, 15]",0.026890381793877,,,2.9141366003,https://www.youtube.com/watch?v=5EQOPpM-HsE,,3,True
72,72,401110728,2019,1,regular,2019-08-31T23:30:00.000Z,False,True,False,False,26037,3984,War Memorial Stadium,2751,Wyoming,fbs,Mountain West,37,"[0, 27, 7, 3]",0.0447631144248725,1493.0,1513.0,142,Missouri,fbs,SEC,31,"[14, 3, 0, 14]",0.9552368855751274,1734.0,1714.0,5.6275847598,https://www.youtube.com/watch?v=G_vcntObtDM,,6,True
74,74,401110722,2019,1,regular,2019-08-31T23:30:00.000Z,False,True,True,False,60662,3687,AT&T Stadium,2,Auburn,fbs,SEC,27,"[3, 3, 7, 14]",0.786916801751763,1805.0,1805.0,2483,Oregon,fbs,Pac-12,21,"[14, 0, 7, 0]",0.2130831982482369,1593.0,1593.0,7.05706116539999,https://www.youtube.com/watch?v=N4Li6jkRKjU,,6,True
76,76,401114244,2019,1,regular,2019-09-01T00:00:00.000Z,False,True,False,False,34646,3946,Sun Bowl,2638,UTEP,fbs,Conference USA,36,"[3, 17, 13, 3]",0.491596371576056,,,2277,Houston Christian,fcs,Southland,34,"[0, 17, 11, 6]",0.5084036284239439,,,6.3825229555,https://www.youtube.com/watch?v=why0vWLNTGA,,2,True
79,79,401117496,2019,1,regular,2019-09-01T01:00:00.000Z,False,True,False,False,40222,3932,Qualcomm Stadium,21,San Diego State,fbs,Mountain West,6,"[0, 3, 0, 3]",0.9857140614874248,,,2692,Weber State,fcs,Big Sky,0,"[0, 0, 0, 0]",0.014285938512575,,,4.5793571025,https://www.youtube.com/watch?v=sVn70g_Sqz0,,6,True
82,82,401114218,2019,1,regular,2019-09-01T02:30:00.000Z,False,True,False,False,57329,477,Los Angeles Memorial Coliseum,30,USC,fbs,Pac-12,31,"[14, 3, 14, 0]",0.3468488591845395,1571.0,1591.0,278,Fresno State,fbs,Mountain West,23,"[3, 7, 3, 10]",0.6531511408154604,1695.0,1675.0,2.82922510999999,https://www.youtube.com/watch?v=zHNUTfiwW9A,,8,True
87,87,401114251,2019,2,regular,2019-09-07T01:00:00.000Z,False,True,False,False,31951,3653,Albertsons Stadium,68,Boise State,fbs,Mountain West,14,"[0, 7, 7, 0]",0.9742280253075608,1694.0,1694.0,276,Marshall,fbs,Conference USA,7,"[7, 0, 0, 0]",0.025771974692439,1511.0,1511.0,4.7394687916,https://www.youtube.com/watch?v=P7Jg7cmBT6s,,7,True
96,96,401119261,2019,2,regular,2019-09-07T16:00:00.000Z,False,True,False,False,18679,3696,Dix Stadium,2309,Kent State,fbs,Mid-American,26,"[3, 7, 7, 6, 3]",0.2270606420041482,,,338,Kennesaw State,fcs,Big South,23,"[3, 13, 0, 7, 0]",0.7729393579958518,,,9.5917392374,,,3,True
100,100,401112223,2019,2,regular,2019-09-07T16:00:00.000Z,False,True,False,False,111747,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,24,"[7, 0, 7, 0, 7, 3]",0.9601404334753726,1760.0,1761.0,349,Army,fbs,FBS Independents,21,"[7, 7, 0, 0, 7, 0]",0.0398595665246274,1727.0,1726.0,7.65488039,https://www.youtube.com/watch?v=U0wE3nTYkbU,,3,True
104,104,401112441,2019,2,regular,2019-09-07T18:00:00.000Z,False,True,False,False,46599,721,Bobby Dodd Stadium,59,Georgia Tech,fbs,ACC,14,"[0, 14, 0, 0]",0.38553997084444,1527.0,1524.0,58,South Florida,fbs,American Athletic,10,"[3, 0, 0, 7]",0.61446002915556,1307.0,1310.0,5.399834857,https://www.youtube.com/watch?v=FPFVdHZQ8cs,,4,True
107,107,401112239,2019,2,regular,2019-09-07T19:30:00.000Z,False,True,False,False,52829,3726,Folsom Field,38,Colorado,fbs,Pac-12,34,"[0, 0, 7, 24, 3]",0.78305545476007,1492.0,1493.0,158,Nebraska,fbs,Big Ten,31,"[7, 10, 0, 14, 0]",0.21694454523993,1478.0,1477.0,7.43776658589999,https://www.youtube.com/watch?v=SaKlr1NMnu4,,3,True
110,110,401112146,2019,2,regular,2019-09-07T19:30:00.000Z,False,True,False,False,23108,3892,Pratt & Whitney Stadium,41,UConn,fbs,American Athletic,23,"[10, 3, 7, 3]",0.0609526241668089,1058.0,1067.0,356,Illinois,fbs,Big Ten,31,"[0, 24, 7, 0]",0.939047375833191,1376.0,1367.0,3.3857458946,https://www.youtube.com/watch?v=wf0sLgZACC4,,-8,True
113,113,401114250,2019,2,regular,2019-09-07T19:30:00.000Z,False,True,False,False,23174,3776,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,20,"[7, 13, 0, 0]",0.8786448845449534,,,2755,Grambling,fcs,SWAC,14,"[0, 0, 7, 7]",0.1213551154550466,,,0.992422982499999,https://www.youtube.com/watch?v=kTV5JJeib3s,,6,True
122,122,401112440,2019,2,regular,2019-09-07T21:00:00.000Z,False,True,False,False,52969,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,45,"[14, 10, 0, 14, 7]",0.5706900916134383,1451.0,1449.0,2433,UL Monroe,fbs,Sun Belt,44,"[0, 7, 14, 17, 6]",0.4293099083865617,1347.0,1349.0,5.3168641158,https://www.youtube.com/watch?v=kXM4_Myao9k,,1,True
