,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
1,1,401520145,2023,1,regular,2023-08-26T21:30:00.000Z,False,True,False,True,17982.0,3662,AmFirst Stadium,55,Jacksonville State,fbs,Conference USA,17,"[3, 7, 7, 0]",0.4080006003631978,1500,1499,2638,UTEP,fbs,Conference USA,14,"[0, 7, 0, 7]",0.5919993996368021,1369.0,1370.0,6.8213333937,,,3,True
2,2,401532392,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,23867.0,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,20,"[3, 7, 0, 10]",0.9544687299546838,1488,1497,195,Ohio,fbs,Mid-American,13,"[3, 3, 0, 7]",0.0455312700453162,1482.0,1473.0,6.5473781337,,,7,True
4,4,401520147,2023,1,regular,2023-08-26T23:30:00.000Z,False,True,False,False,21407.0,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,35,"[14, 7, 7, 7]",0.180846188050306,1322,1327,62,Hawai'i,fbs,Mountain West,28,"[7, 7, 0, 14]",0.8191538119496939,1246.0,1241.0,5.2820326034,,,7,True
6,6,401520146,2023,1,regular,2023-08-27T01:00:00.000Z,False,True,False,True,16299.0,3776,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,22,"[0, 13, 0, 9]",0.9857287782801066,1251,1249,2229,Florida International,fbs,Conference USA,17,"[14, 3, 0, 0]",0.0142712217198933,1072.0,1074.0,8.9977661071,,,5,True
7,7,401531834,2023,1,regular,2023-08-31T23:00:00.000Z,False,True,False,False,15546.0,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,42,"[14, 7, 14, 7]",0.9688016320131436,1490,1490,227,Rhode Island,fcs,CAA,35,"[0, 14, 14, 7]",0.0311983679868562,,,6.8861501661,,,7,True
15,15,401520148,2023,1,regular,2023-09-01T00:00:00.000Z,False,True,False,True,53629.0,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,13,"[0, 3, 0, 10]",0.0470561994281056,1672,1671,158,Nebraska,fbs,Big Ten,10,"[0, 0, 7, 3]",0.9529438005718944,1521.0,1522.0,7.656757772,,,3,True
17,17,401523987,2023,1,regular,2023-09-01T02:00:00.000Z,False,True,False,False,47773.0,3947,Mountain America Stadium,9,Arizona State,fbs,Pac-12,24,"[7, 14, 0, 3]",0.8446309628185182,1464,1464,253,Southern Utah,fcs,UAC,21,"[0, 7, 7, 7]",0.1553690371814817,,,6.1818221504,,,3,True
21,21,401525462,2023,1,regular,2023-09-01T23:30:00.000Z,False,True,True,True,,5348,Mercedes-Benz Stadium,59,Georgia Tech,fbs,ACC,34,"[0, 28, 0, 6]",0.3374647435132891,1348,1362,97,Louisville,fbs,ACC,39,"[6, 7, 10, 16]",0.6625352564867109,1668.0,1654.0,7.4210820721,,Aflac Kickoff,-5,True
25,25,401520170,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,54898.0,3907,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,35,"[7, 14, 7, 7]",0.1256113617044068,1473,1479,278,Fresno State,fbs,Mountain West,39,"[7, 10, 8, 14]",0.8743886382955932,1677.0,1671.0,6.8963093762,,,-4,True
29,29,401525464,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,30122.0,3615,"Alumni Stadium (Chestnut Hill, MA)",103,Boston College,fbs,ACC,24,"[0, 0, 7, 14, 3]",0.0260055999631053,1314,1309,2459,Northern Illinois,fbs,Mid-American,27,"[0, 7, 7, 7, 6]",0.9739944000368946,1304.0,1309.0,7.6619910082,,,-3,True
31,31,401523994,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,53294.0,3616,Amon G. Carter Stadium,2628,TCU,fbs,Big 12,42,"[0, 14, 14, 14]",0.115941546260063,1652,1613,38,Colorado,fbs,Pac-12,45,"[7, 10, 14, 14]",0.884058453739937,1157.0,1196.0,9.2614554314,,,-3,True
38,38,401531387,2023,1,regular,2023-09-02T18:00:00.000Z,False,True,False,False,12456.0,3806,Lincoln Financial Field,218,Temple,fbs,American Athletic,24,"[0, 10, 6, 8]",0.5725468565105022,1262,1263,2006,Akron,fbs,Mid-American,21,"[7, 14, 0, 0]",0.4274531434894978,1269.0,1268.0,8.5013722326,,,3,True
59,59,401531838,2023,1,regular,2023-09-02T22:00:00.000Z,False,True,False,False,25101.0,3775,Joan C. Edwards Stadium,276,Marshall,fbs,Sun Belt,21,"[0, 0, 14, 7]",0.9937266966209884,1542,1542,399,UAlbany,fcs,CAA,17,"[0, 3, 14, 0]",0.0062733033790116,,,9.3805121172,,,4,True
64,64,401520153,2023,1,regular,2023-09-02T22:30:00.000Z,False,True,False,False,16878.0,218,FIU Stadium,2229,Florida International,fbs,Conference USA,14,"[7, 7, 0, 0]",0.7558793922760062,1083,1083,311,Maine,fcs,CAA,12,"[3, 3, 6, 0]",0.2441206077239938,,,9.8007531469,,,2,True
67,67,401520175,2023,1,regular,2023-09-02T23:00:00.000Z,False,True,False,False,18914.0,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,17,"[0, 3, 0, 14]",0.0055631381306629,1244,1255,349,Army,fbs,FBS Independents,13,"[0, 10, 0, 3]",0.994436861869337,1499.0,1488.0,6.3773981569,,,4,True
70,70,401525819,2023,1,regular,2023-09-02T23:00:00.000Z,False,True,False,False,37862.0,4728,TDECU Stadium,248,Houston,fbs,Big 12,17,"[7, 3, 7, 0]",0.2199673527392803,1579,1580,2636,UTSA,fbs,American Athletic,14,"[7, 0, 0, 7]",0.7800326472607196,1605.0,1604.0,6.7941692021,,,3,True
78,78,401525825,2023,1,regular,2023-09-02T23:30:00.000Z,False,True,False,False,26450.0,3984,War Memorial Stadium,2751,Wyoming,fbs,Mountain West,35,"[0, 10, 7, 3, 7, 8]",0.4239321033694562,1409,1412,2641,Texas Tech,fbs,Big 12,33,"[17, 0, 0, 3, 7, 6]",0.5760678966305437,1588.0,1585.0,7.9085626634,,,2,True
79,79,401520155,2023,1,regular,2023-09-02T23:30:00.000Z,False,True,False,False,48898.0,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,30,"[7, 0, 13, 10]",0.9030397471002468,1666,1664,2649,Toledo,fbs,Mid-American,28,"[3, 9, 7, 9]",0.0969602528997531,1496.0,1498.0,8.6001583941,,,2,True
88,88,401532571,2023,1,regular,2023-09-03T02:30:00.000Z,False,True,False,False,22345.0,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,36,"[10, 10, 9, 7]",0.9910457621962444,1537,1537,304,Idaho State,fcs,Big Sky,28,"[3, 10, 0, 15]",0.0089542378037554,,,5.6044547478,,,8,True
101,101,401523999,2023,2,regular,2023-09-09T16:00:00.000Z,False,True,False,False,43732.0,4727,McLane Stadium,239,Baylor,fbs,Big 12,13,"[0, 10, 3, 0]",0.3252578729597435,1559,1563,254,Utah,fbs,Pac-12,20,"[0, 3, 3, 14]",0.6747421270402565,1784.0,1780.0,5.7327451846,,,-7,True
104,104,401520215,2023,2,regular,2023-09-09T16:00:00.000Z,False,True,False,False,65632.0,3799,Lane Stadium,259,Virginia Tech,fbs,ACC,17,"[0, 17, 0, 0]",0.0246788030915942,1421,1412,2509,Purdue,fbs,Big Ten,24,"[7, 10, 0, 7]",0.9753211969084056,1479.0,1488.0,7.5278059394,,,-7,True
105,105,401525498,2023,2,regular,2023-09-09T16:00:00.000Z,False,True,False,False,56508.0,3923,Scott Stadium,258,Virginia,fbs,ACC,35,"[7, 7, 21, 0]",0.8920745397236187,1339,1350,256,James Madison,fbs,Sun Belt,36,"[17, 0, 7, 12]",0.1079254602763812,1606.0,1595.0,6.3171327858,,,-1,True
