,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401405059,Nebraska,158,loser,28,23.0,0.5625,0.0,465.0,355.0,0.5952380952380952,8.5,110.0,31.0,3.5,1,5,3.0,1.0,2.0,25:46
2,401416568,St Francis PA,2598,loser,23,18.0,0.25,1.0,453.0,264.0,0.6176470588235294,7.8,189.0,40.0,4.7,10,62,1.0,0.0,1.0,32:46
4,401411092,West Virginia,277,loser,31,23.0,0.5,0.0,404.0,214.0,0.575,5.4,190.0,33.0,5.8,11,72,2.0,1.0,1.0,27:29
6,401426533,Bryant,2803,loser,37,28.0,0.5882352941176471,1.0,470.0,349.0,0.7073170731707317,8.5,121.0,37.0,3.3,15,130,1.0,1.0,0.0,38:18
8,401416592,E Illinois,2197,loser,27,25.0,0.6666666666666666,0.0,441.0,276.0,0.7142857142857143,7.9,165.0,30.0,5.5,8,70,2.0,0.0,2.0,30:27
11,401405064,Purdue,2509,loser,31,26.0,0.3125,1.0,426.0,365.0,0.5084745762711864,6.2,61.0,22.0,2.8,9,92,1.0,1.0,0.0,29:16
12,401415213,Portland St,2502,loser,17,24.0,0.38461538461538464,1.0,395.0,270.0,0.6486486486486487,7.3,125.0,35.0,3.6,7,60,3.0,1.0,2.0,37:48
14,401426330,Virginia Tech,259,loser,17,19.0,0.29411764705882354,0.0,333.0,197.0,0.5833333333333334,5.5,136.0,39.0,3.5,15,106,5.0,1.0,4.0,35:55
16,401416590,E Kentucky,2198,loser,34,29.0,0.6666666666666666,1.0,492.0,351.0,0.6862745098039216,6.9,141.0,28.0,5.0,12,108,2.0,1.0,1.0,31:48
18,401405061,Illinois,356,loser,20,29.0,0.5294117647058824,0.0,448.0,232.0,0.5833333333333334,6.4,216.0,54.0,4.0,8,81,4.0,3.0,1.0,36:33
21,401411095,App State,2026,loser,61,36.0,0.5,0.5,649.0,361.0,0.6944444444444444,10.0,288.0,43.0,6.7,7,80,1.0,0.0,1.0,32:03
23,401411096,East Carolina,151,loser,20,18.0,0.5294117647058824,0.0,383.0,267.0,0.6097560975609756,6.5,116.0,27.0,4.3,2,20,2.0,0.0,2.0,32:18
25,401415611,Navy,2426,loser,7,17.0,0.3125,0.0,319.0,135.0,0.38461538461538464,10.4,184.0,63.0,2.9,6,60,3.0,3.0,0.0,32:19
