,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401238035,C Arkansas,2110,loser,35,20.0,0.46153846153846156,0.0,293.0,193.0,0.5434782608695652,4.2,100.0,21.0,4.8,5,50,3.0,2.0,1.0,22:55
3,401207101,Southern Miss,2572,loser,21,20.0,0.35714285714285715,0.5,409.0,314.0,0.6875,9.8,95.0,37.0,2.6,7,49,0.0,0.0,0.0,30:52
4,401237353,E Kentucky,2198,loser,0,7.0,0.25,0.0,166.0,80.0,0.625,5.0,86.0,31.0,2.8,6,40,1.0,0.0,1.0,25:37
6,401235700,MTSU,2393,loser,0,13.0,0.3333333333333333,1.0,184.0,109.0,0.6666666666666666,4.5,75.0,24.0,3.1,5,53,4.0,2.0,2.0,24:31
9,401212484,Texas St,326,loser,24,22.0,0.375,0.6666666666666666,416.0,227.0,0.5384615384615384,5.8,189.0,38.0,5.0,4,43,2.0,1.0,1.0,27:57
10,401207098,Houston Baptist,2277,loser,31,28.0,0.4444444444444444,0.5,569.0,480.0,0.6290322580645161,7.7,89.0,24.0,3.7,9,78,0.0,0.0,0.0,31:41
12,401212553,Arkansas St,2032,loser,24,25.0,0.4,0.6666666666666666,424.0,299.0,0.627906976744186,7.0,125.0,36.0,3.5,5,50,3.0,1.0,2.0,25:40
14,401239884,SF Austin,2617,loser,14,14.0,0.375,1.0,230.0,133.0,0.6666666666666666,6.3,97.0,23.0,4.2,5,45,2.0,1.0,1.0,23:13
17,401234576,Navy,2426,loser,3,7.0,0.16666666666666666,0.0,149.0,30.0,0.5,3.8,119.0,39.0,3.1,6,54,1.0,1.0,0.0,22:40
18,401234559,UAB,5,loser,14,14.0,0.2,0.0,285.0,205.0,0.5428571428571428,5.9,80.0,26.0,3.1,11,75,0.0,0.0,0.0,29:04
21,401236053,Kansas St,2306,loser,31,21.0,0.09090909090909091,1.0,374.0,283.0,0.6,9.4,91.0,39.0,2.3,8,85,0.0,0.0,0.0,34:16
22,401234565,Syracuse,183,loser,6,15.0,0.21052631578947367,0.0,202.0,134.0,0.42105263157894735,3.5,68.0,35.0,1.9,8,60,1.0,0.0,1.0,27:50
24,401236081,Charlotte,2429,loser,20,16.0,0.2857142857142857,0.0,286.0,140.0,0.36666666666666664,4.7,146.0,30.0,4.9,5,63,2.0,0.0,2.0,28:37
26,401236038,E Kentucky,2198,loser,10,9.0,0.09090909090909091,0.0,206.0,131.0,0.5294117647058824,7.7,75.0,32.0,2.3,8,65,1.0,0.0,1.0,24:17
29,401236221,Iowa State,66,loser,14,18.0,0.4375,0.3333333333333333,303.0,145.0,0.45714285714285713,4.1,158.0,36.0,4.4,3,24,2.0,1.0,1.0,32:19
30,401240113,UL Monroe,2433,loser,7,9.0,0.3333333333333333,0.0,200.0,163.0,0.6666666666666666,6.8,37.0,20.0,1.9,4,30,2.0,1.0,1.0,23:13
32,401234574,Duke,150,loser,13,18.0,0.26666666666666666,0.0,334.0,259.0,0.5405405405405406,7.0,75.0,30.0,2.5,4,31,2.0,2.0,0.0,26:36
35,401207113,Texas St,326,loser,48,26.0,0.3333333333333333,0.5,474.0,349.0,0.675,8.7,125.0,37.0,3.4,6,55,2.0,0.0,2.0,28:28
37,401234563,Florida St,52,loser,13,21.0,0.35294117647058826,0.6,307.0,198.0,0.5111111111111111,4.4,109.0,35.0,3.1,8,55,3.0,2.0,1.0,30:32
38,401240233,Austin Peay,2046,loser,0,7.0,0.25,1.0,137.0,136.0,0.48484848484848486,4.1,1.0,22.0,0.0,5,27,3.0,1.0,2.0,25:15
40,401215298,Campbell,2097,loser,26,17.0,0.38461538461538464,0.5,369.0,237.0,0.6296296296296297,8.8,132.0,31.0,4.3,11,95,0.0,0.0,0.0,26:04
42,401236054,Missouri St,2623,loser,0,7.0,0.0,0.0,135.0,81.0,0.45454545454545453,3.7,54.0,24.0,2.3,9,73,1.0,0.0,1.0,22:49
44,401240039,The Citadel,2643,loser,6,16.0,0.4444444444444444,1.0,284.0,84.0,0.2222222222222222,4.7,200.0,54.0,3.7,7,63,3.0,2.0,1.0,32:17
47,401239973,South Alabama,6,loser,24,21.0,0.47058823529411764,0.0,386.0,321.0,0.5945945945945946,8.7,65.0,35.0,1.9,8,65,1.0,1.0,0.0,33:58
49,401234562,Wake Forest,154,loser,13,15.0,0.2777777777777778,0.0,330.0,293.0,0.5,7.7,37.0,34.0,1.1,1,6,0.0,0.0,0.0,25:16
50,401236222,UTEP,2638,loser,3,14.0,0.17647058823529413,0.3333333333333333,233.0,190.0,0.48717948717948717,4.9,43.0,33.0,1.3,7,30,1.0,0.0,1.0,34:17
52,401234564,Western KY,98,loser,21,12.0,0.3333333333333333,0.3333333333333333,248.0,129.0,0.43478260869565216,5.6,119.0,35.0,3.4,4,23,1.0,1.0,0.0,27:27
54,401236039,Houston Baptist,2277,loser,33,28.0,0.4666666666666667,0.5,600.0,572.0,0.6078431372549019,11.2,28.0,24.0,1.2,10,60,1.0,0.0,1.0,26:56
57,401236658,Kansas,2305,loser,23,23.0,0.36363636363636365,0.6666666666666666,367.0,189.0,0.6,5.4,178.0,38.0,4.7,5,35,3.0,1.0,2.0,29:35
58,401240126,Campbell,2097,loser,21,22.0,0.631578947368421,0.5,342.0,137.0,0.48,5.5,205.0,50.0,4.1,5,33,1.0,0.0,1.0,34:19
61,401207124,Western KY,98,loser,24,19.0,0.3,1.0,291.0,181.0,0.72,7.2,110.0,28.0,3.9,2,19,0.0,0.0,0.0,25:01
62,401234571,Syracuse,183,loser,10,10.0,0.14285714285714285,0.0,171.0,120.0,0.5416666666666666,5.0,51.0,34.0,1.5,5,53,2.0,1.0,1.0,25:30
64,401212541,Austin Peay,2046,loser,20,18.0,0.3684210526315789,0.8,353.0,213.0,0.5641025641025641,5.5,140.0,37.0,3.8,7,53,1.0,0.0,1.0,33:06
67,401234567,Duke,150,loser,6,19.0,0.5625,1.0,351.0,217.0,0.5476190476190477,5.2,134.0,29.0,4.6,4,56,5.0,3.0,2.0,23:42
69,401212522,Tulane,2655,loser,24,18.0,0.15384615384615385,0.5,373.0,108.0,0.4,4.3,265.0,44.0,6.0,5,50,1.0,0.0,1.0,27:25
70,401236041,Tulsa,202,loser,7,15.0,0.0,0.25,277.0,165.0,0.6428571428571429,5.9,112.0,32.0,3.5,15,120,1.0,0.0,1.0,29:27
73,401215301,Georgia St,2247,loser,31,26.0,0.4,0.0,419.0,196.0,0.5641025641025641,5.0,223.0,52.0,4.3,6,38,2.0,1.0,1.0,30:10
74,401241282,South Florida,58,loser,0,11.0,0.13333333333333333,0.2,231.0,125.0,0.41379310344827586,4.3,106.0,33.0,3.2,4,40,0.0,0.0,0.0,30:04
77,401240640,MTSU,2393,loser,14,15.0,0.42857142857142855,0.3333333333333333,241.0,154.0,0.6176470588235294,4.5,87.0,28.0,3.1,5,35,3.0,0.0,3.0,24:15
79,401234568,Georgia Tech,59,loser,21,23.0,0.4666666666666667,0.3333333333333333,471.0,244.0,0.4864864864864865,6.6,227.0,44.0,5.2,7,49,5.0,3.0,2.0,28:08
80,401236939,App State,2026,loser,7,26.0,0.3076923076923077,0.0,364.0,268.0,0.5641025641025641,6.9,96.0,33.0,2.9,8,82,2.0,1.0,1.0,28:01
82,401240041,SF Austin,2617,loser,10,15.0,0.16666666666666666,1.0,344.0,285.0,0.6363636363636364,8.6,59.0,28.0,2.1,5,45,1.0,1.0,0.0,27:34
84,401237492,The Citadel,2643,loser,0,8.0,0.1875,0.5,162.0,76.0,0.2727272727272727,6.9,86.0,48.0,1.8,11,75,1.0,1.0,0.0,34:32
87,401207120,North Texas,249,loser,35,25.0,0.47058823529411764,0.3333333333333333,517.0,305.0,0.5,9.0,212.0,53.0,4.0,13,97,2.0,1.0,1.0,25:29
89,401207106,Southern Miss,2572,loser,30,21.0,0.5833333333333334,0.5,393.0,264.0,0.75,8.3,129.0,30.0,4.3,5,45,1.0,0.0,1.0,27:16
91,401234569,Louisville,97,loser,34,29.0,0.2857142857142857,0.75,516.0,307.0,0.7222222222222222,8.5,209.0,49.0,4.3,7,70,3.0,2.0,1.0,38:01
93,401215302,UL Monroe,2433,loser,17,25.0,0.26666666666666666,0.6,444.0,377.0,0.660377358490566,7.1,67.0,26.0,2.6,5,47,2.0,1.0,1.0,33:13
94,401234570,Wake Forest,154,loser,42,32.0,0.4666666666666667,0.5,385.0,236.0,0.6388888888888888,6.6,149.0,49.0,3.0,3,15,1.0,1.0,0.0,29:01
96,401239885,Abilene Chrstn,2000,loser,13,15.0,0.16666666666666666,0.6666666666666666,308.0,209.0,0.6521739130434783,9.1,99.0,35.0,2.8,6,56,2.0,2.0,0.0,30:02
99,401207132,South Alabama,6,loser,10,18.0,0.25,0.5,315.0,168.0,0.4827586206896552,5.8,147.0,34.0,4.3,2,30,2.0,1.0,1.0,25:00
100,401207134,MTSU,2393,loser,35,27.0,0.4444444444444444,0.0,563.0,372.0,0.6458333333333334,7.8,191.0,41.0,4.7,8,82,2.0,0.0,2.0,35:40
103,401236952,Ole Miss,145,loser,35,29.0,0.6428571428571429,0.0,613.0,443.0,0.7272727272727273,13.4,170.0,45.0,3.8,4,45,1.0,0.0,1.0,26:31
104,401234594,Georgia Tech,59,loser,20,23.0,0.3333333333333333,0.5,453.0,178.0,0.46875,5.6,275.0,52.0,5.3,15,104,5.0,1.0,4.0,34:08
106,401237034,Kentucky,96,loser,13,21.0,0.6,0.0,384.0,239.0,0.631578947368421,6.3,145.0,40.0,3.6,4,40,3.0,2.0,1.0,36:29
108,401215303,GA Southern,290,loser,18,21.0,0.5714285714285714,0.5,447.0,255.0,0.6111111111111112,14.2,192.0,49.0,3.9,2,10,2.0,1.0,1.0,35:14
111,401212536,East Carolina,151,loser,28,25.0,0.5,0.5,459.0,215.0,0.4827586206896552,7.4,244.0,54.0,4.5,11,105,4.0,3.0,1.0,33:08
113,401235996,Oklahoma,201,loser,35,28.0,0.5833333333333334,0.5,517.0,387.0,0.7317073170731707,9.4,130.0,35.0,3.7,10,75,4.0,1.0,3.0,32:08
114,401234595,Louisville,97,loser,20,10.0,0.09090909090909091,0.5,223.0,107.0,0.42857142857142855,5.1,116.0,30.0,3.9,3,22,3.0,0.0,3.0,24:44
116,401236253,Campbell,2097,loser,21,15.0,0.46153846153846156,0.5,298.0,188.0,0.42105263157894735,9.9,110.0,38.0,2.9,8,45,0.0,0.0,0.0,25:40
118,401207126,FIU,2229,loser,34,16.0,0.45454545454545453,0.5,304.0,136.0,0.55,6.8,168.0,31.0,5.4,15,127,0.0,0.0,0.0,22:39
121,401235994,TCU,2628,loser,34,27.0,0.5,0.0,498.0,399.0,0.675,10.0,99.0,44.0,2.3,10,66,2.0,1.0,1.0,32:54
123,401237035,LSU,99,loser,34,25.0,0.29411764705882354,1.0,425.0,345.0,0.5869565217391305,7.5,80.0,38.0,2.1,7,31,2.0,0.0,2.0,29:32
125,401240194,UL Monroe,2433,loser,6,6.0,0.0,0.5,193.0,186.0,0.6129032258064516,6.0,7.0,14.0,0.5,7,72,1.0,0.0,1.0,20:24
126,401240996,Army,349,loser,10,18.0,0.23076923076923078,0.0,276.0,94.0,0.42857142857142855,4.5,182.0,43.0,4.2,10,87,2.0,1.0,1.0,30:32
128,401235997,West Virginia,277,loser,13,22.0,0.35294117647058826,0.0,353.0,285.0,0.5405405405405406,7.7,68.0,42.0,1.6,12,106,1.0,1.0,0.0,32:51
131,401235995,Texas Tech,2641,loser,56,24.0,0.5,0.0,441.0,331.0,0.5961538461538461,6.4,110.0,24.0,4.6,4,15,3.0,0.0,3.0,25:21
132,401234638,Duke,150,loser,20,17.0,0.3333333333333333,0.0,342.0,286.0,0.45,7.2,56.0,38.0,1.5,3,25,7.0,2.0,5.0,25:25
135,401237033,Arkansas,8,loser,10,15.0,0.21428571428571427,0.0,280.0,203.0,0.5128205128205128,5.2,77.0,28.0,2.8,10,53,3.0,0.0,3.0,24:14
136,401241303,Texas St,326,loser,21,21.0,0.4666666666666667,1.0,357.0,229.0,0.6551724137931034,7.9,128.0,40.0,3.2,7,61,1.0,0.0,1.0,31:00
138,401232157,Houston Baptist,2277,loser,38,26.0,0.6,1.0,501.0,406.0,0.6379310344827587,7.0,95.0,28.0,3.4,16,147,2.0,1.0,1.0,29:37
140,401212485,SF Austin,2617,loser,7,14.0,0.3333333333333333,0.0,216.0,165.0,0.5925925925925926,6.1,51.0,40.0,1.3,3,35,1.0,0.0,1.0,34:25
143,401234734,Southern Miss,2572,loser,24,19.0,0.35294117647058826,1.0,369.0,299.0,0.6052631578947368,7.9,70.0,34.0,2.1,2,13,2.0,1.0,1.0,30:52
145,401236951,Missouri,142,loser,19,20.0,0.5,0.6666666666666666,322.0,253.0,0.6666666666666666,6.5,69.0,34.0,2.0,3,20,2.0,2.0,0.0,28:35
146,401237037,Vanderbilt,238,loser,12,17.0,0.4117647058823529,1.0,255.0,150.0,0.6896551724137931,5.2,105.0,38.0,2.8,3,35,2.0,0.0,2.0,33:59
148,401234593,Florida St,52,loser,10,23.0,0.42857142857142855,0.0,330.0,179.0,0.5945945945945946,4.8,151.0,36.0,4.2,12,113,3.0,0.0,3.0,28:05
151,401237036,South Carolina,2579,loser,27,22.0,0.4,0.0,379.0,290.0,0.6410256410256411,7.4,89.0,35.0,2.5,4,40,2.0,1.0,1.0,34:50
152,401235993,Kansas,2305,loser,14,20.0,0.25,0.5,328.0,159.0,0.5757575757575758,4.8,169.0,43.0,3.9,10,80,0.0,0.0,0.0,31:30
154,401234566,NC State,152,loser,24,19.0,0.3125,0.6666666666666666,386.0,247.0,0.5757575757575758,7.5,139.0,42.0,3.3,8,65,2.0,0.0,2.0,30:55
156,401236223,Troy,2653,loser,7,8.0,0.14285714285714285,0.5,181.0,162.0,0.5833333333333334,4.5,19.0,18.0,1.1,5,50,0.0,0.0,0.0,19:53
158,401240282,Campbell,2097,loser,14,22.0,0.5625,0.0,362.0,242.0,0.5555555555555556,6.7,120.0,38.0,3.2,5,42,4.0,2.0,2.0,34:33
160,401246275,Louisiana Tech,2348,loser,14,18.0,0.35714285714285715,1.0,313.0,239.0,0.6666666666666666,7.2,74.0,31.0,2.4,7,58,2.0,0.0,2.0,30:12
162,401237096,South Carolina,2579,loser,24,25.0,0.35294117647058826,0.8333333333333334,329.0,212.0,0.5957446808510638,4.5,117.0,36.0,3.3,6,55,1.0,1.0,0.0,36:23
164,401215304,Arkansas St,2032,loser,23,15.0,0.3333333333333333,0.3333333333333333,385.0,349.0,0.6363636363636364,7.9,36.0,19.0,1.9,4,31,2.0,1.0,1.0,18:39
166,401235998,Baylor,239,loser,21,15.0,0.25,0.5,256.0,229.0,0.6052631578947368,6.0,27.0,33.0,0.8,12,86,2.0,0.0,2.0,28:07
168,401237099,Missouri,142,loser,12,15.0,0.4,0.6666666666666666,344.0,218.0,0.56,8.7,126.0,37.0,3.4,6,49,1.0,0.0,1.0,28:10
171,401236002,Texas,251,loser,31,16.0,0.5,1.0,388.0,236.0,0.4722222222222222,6.6,152.0,24.0,6.3,12,92,2.0,1.0,1.0,25:09
172,401212547,East Carolina,151,loser,29,19.0,0.29411764705882354,0.3333333333333333,286.0,236.0,0.5576923076923077,4.5,50.0,26.0,1.9,11,97,3.0,0.0,3.0,33:05
175,401234600,Pitt,221,loser,29,24.0,0.375,0.6666666666666666,503.0,411.0,0.55,10.3,92.0,37.0,2.5,13,125,0.0,0.0,0.0,30:00
176,401207141,UTSA,2636,loser,13,17.0,0.15384615384615385,0.3333333333333333,280.0,90.0,0.36,3.6,190.0,36.0,5.3,10,98,1.0,0.0,1.0,26:53
178,401237513,North Alabama,2453,loser,7,14.0,0.42857142857142855,0.0,247.0,184.0,0.6666666666666666,6.8,63.0,29.0,2.2,6,55,3.0,1.0,2.0,32:10
180,401240040,Abilene Chrstn,2000,loser,23,19.0,0.1,0.3333333333333333,388.0,302.0,0.6410256410256411,7.7,86.0,23.0,3.7,6,48,0.0,0.0,0.0,28:15
183,401234597,Boston College,103,loser,22,22.0,0.5294117647058824,1.0,353.0,313.0,0.6607142857142857,5.6,40.0,19.0,2.1,12,110,0.0,0.0,0.0,31:03
184,401236001,Texas Tech,2641,loser,21,27.0,0.5,0.6666666666666666,471.0,267.0,0.6938775510204082,5.4,204.0,34.0,6.0,6,71,1.0,0.0,1.0,31:39
186,401237093,Texas A&M,245,loser,24,25.0,0.5882352941176471,0.0,450.0,335.0,0.5531914893617021,7.1,115.0,30.0,3.8,7,58,2.0,0.0,2.0,37:42
188,401212486,Memphis,235,loser,27,26.0,0.5882352941176471,1.0,501.0,296.0,0.6904761904761905,7.0,205.0,38.0,5.4,5,40,4.0,2.0,2.0,30:51
191,401236000,Kansas,2305,loser,7,12.0,0.07142857142857142,0.3333333333333333,193.0,92.0,0.5833333333333334,3.8,101.0,40.0,2.5,3,17,1.0,0.0,1.0,28:06
192,401212476,South Florida,58,loser,7,19.0,0.38461538461538464,0.3333333333333333,291.0,208.0,0.5121951219512195,5.1,83.0,33.0,2.5,3,40,5.0,0.0,5.0,23:36
194,401238034,Jax State,55,loser,24,18.0,0.3,0.0,307.0,244.0,0.7419354838709677,7.9,63.0,22.0,2.9,9,57,1.0,0.0,1.0,25:17
197,401237097,Kentucky,96,loser,41,26.0,0.5454545454545454,0.0,559.0,151.0,0.7777777777777778,8.4,408.0,56.0,7.3,8,81,1.0,1.0,0.0,36:05
199,401234599,Duke,150,loser,31,19.0,0.29411764705882354,1.0,418.0,279.0,0.575,7.0,139.0,37.0,3.8,8,84,1.0,0.0,1.0,25:56
200,401207136,Charlotte,2429,loser,17,22.0,0.375,0.6666666666666666,396.0,314.0,0.75,9.8,82.0,41.0,2.0,3,27,1.0,1.0,0.0,37:49
203,401207138,MTSU,2393,loser,17,18.0,0.4375,1.0,319.0,217.0,0.696969696969697,6.6,102.0,33.0,3.1,6,47,0.0,0.0,0.0,28:25
204,401212557,Navy,2426,loser,7,10.0,0.38461538461538464,0.3333333333333333,241.0,151.0,0.4444444444444444,8.4,90.0,36.0,2.5,4,30,2.0,1.0,1.0,25:52
207,401215305,UL Monroe,2433,loser,30,24.0,0.3333333333333333,1.0,426.0,334.0,0.5636363636363636,6.1,92.0,18.0,5.1,5,45,0.0,0.0,0.0,25:07
209,401237098,Vanderbilt,238,loser,7,17.0,0.4117647058823529,0.5,266.0,113.0,0.44,4.5,153.0,43.0,3.6,5,24,2.0,0.0,2.0,30:47
210,401237095,Auburn,2,loser,6,15.0,0.4,0.5,216.0,177.0,0.525,4.4,39.0,22.0,1.8,7,46,1.0,0.0,1.0,25:56
213,401207139,North Texas,249,loser,31,27.0,0.5789473684210527,0.5,483.0,339.0,0.5957446808510638,7.2,144.0,38.0,3.8,2,20,3.0,3.0,0.0,24:44
