,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401635525,Florida St,52,loser,21,20.0,0.4166666666666667,0.6666666666666666,291.0,193.0,0.7037037037037037,7.1,98.0,31.0,3.2,1,10,0.0,0.0,0.0,30:39
3,401643697,New Mexico,167,loser,31,19.0,0.125,0.0,324.0,172.0,0.6923076923076923,6.6,152.0,28.0,5.4,4,30,1.0,1.0,0.0,25:20
5,401643696,Nevada,2440,loser,24,16.0,0.4444444444444444,0.0,298.0,150.0,0.5357142857142857,5.4,148.0,43.0,3.4,11,81,0.0,0.0,0.0,36:17
7,401628448,Minnesota,135,loser,17,14.0,0.46153846153846156,0.0,244.0,165.0,0.5909090909090909,7.5,79.0,33.0,2.4,6,50,1.0,1.0,0.0,29:29
8,401634206,N Dakota St,2449,loser,26,24.0,0.46153846153846156,1.0,449.0,292.0,0.7692307692307693,11.2,157.0,43.0,3.7,5,44,0.0,0.0,0.0,36:44
10,401628453,FAU,2226,loser,10,19.0,0.13333333333333333,0.4,248.0,116.0,0.48,4.6,132.0,47.0,2.8,5,55,2.0,0.0,2.0,29:19
13,401634300,Stanford,24,loser,27,17.0,0.3333333333333333,0.4,286.0,165.0,0.5,4.6,121.0,37.0,3.3,4,24,1.0,0.0,1.0,29:45
14,401628333,Virginia Tech,259,loser,27,21.0,0.4666666666666667,0.5,397.0,322.0,0.6470588235294118,9.5,75.0,30.0,2.5,5,40,1.0,0.0,1.0,25:28
16,401644683,Miami OH,193,loser,6,17.0,0.35714285714285715,0.0,267.0,227.0,0.5945945945945946,6.1,40.0,24.0,1.7,3,15,2.0,0.0,2.0,28:38
18,401628329,Old Dominion,295,loser,19,17.0,0.5,1.0,305.0,197.0,0.5789473684210527,5.2,108.0,34.0,3.2,5,33,4.0,2.0,2.0,24:14
20,401641023,Tennessee Tech,2635,loser,25,21.0,0.38461538461538464,0.5,341.0,274.0,0.6444444444444445,6.1,67.0,20.0,3.4,7,81,1.0,0.0,1.0,27:09
22,401632064,C Arkansas,2110,loser,31,20.0,0.3076923076923077,0.0,432.0,197.0,0.5517241379310345,6.8,235.0,32.0,7.3,11,62,0.0,0.0,0.0,27:23
25,401643701,Troy,2653,loser,26,23.0,0.5625,1.0,391.0,200.0,0.6666666666666666,6.7,191.0,36.0,5.3,4,40,0.0,0.0,0.0,30:25
27,401628459,Hawai’i,62,loser,13,18.0,0.2857142857142857,0.3333333333333333,278.0,227.0,0.5952380952380952,5.4,51.0,28.0,1.8,10,97,3.0,1.0,2.0,32:26
28,401636613,Abilene Chrstn,2000,loser,51,30.0,0.6875,0.5,615.0,506.0,0.7058823529411765,9.9,109.0,35.0,3.1,6,49,1.0,1.0,0.0,33:48
30,401643776,Lamar,2320,loser,27,18.0,0.21428571428571427,0.3333333333333333,288.0,237.0,0.47058823529411764,7.0,51.0,29.0,1.8,12,106,0.0,0.0,0.0,27:56
32,401641007,Nicholls,2447,loser,17,13.0,0.1875,0.0,200.0,138.0,0.38461538461538464,5.3,62.0,37.0,1.7,6,68,1.0,1.0,0.0,28:18
34,401641032,SE Missouri,2546,loser,16,15.0,0.3125,0.6666666666666666,352.0,295.0,0.6,6.6,57.0,21.0,2.7,8,71,1.0,0.0,1.0,37:24
