,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
0,401426532,Austin Peay,2046,loser,27,19.0,0.3888888888888889,1.0,319.0,156.0,0.7142857142857143,7.4,163.0,48.0,3.4,8,60,4.0,2.0,2.0,32:39
2,401405059,Nebraska,158,loser,28,23.0,0.5625,0.0,465.0,355.0,0.5952380952380952,8.5,110.0,31.0,3.5,1,5,3.0,1.0,2.0,25:46
4,401413256,Idaho St,304,loser,21,13.0,0.29411764705882354,1.0,241.0,191.0,0.5185185185185185,7.1,50.0,40.0,1.3,4,27,1.0,0.0,1.0,29:36
6,401405058,Wyoming,2751,loser,6,10.0,0.08333333333333333,0.0,212.0,30.0,0.25,1.5,182.0,31.0,5.9,4,39,2.0,1.0,1.0,23:24
8,401404146,UConn,41,loser,20,21.0,0.4,1.0,364.0,119.0,0.3939393939393939,3.6,245.0,39.0,6.3,4,35,3.0,1.0,2.0,28:17
10,401411090,Duquesne,2184,loser,7,11.0,0.1,0.0,164.0,71.0,0.4117647058823529,4.2,93.0,30.0,3.1,4,29,0.0,0.0,0.0,24:47
12,401426530,Charlotte,2429,loser,13,11.0,0.18181818181818182,0.0,279.0,217.0,0.5714285714285714,7.8,62.0,23.0,2.7,10,85,1.0,0.0,1.0,25:04
14,401411091,FAMU,50,loser,24,20.0,0.38461538461538464,1.0,335.0,279.0,0.717948717948718,7.2,56.0,27.0,2.1,8,48,2.0,1.0,1.0,29:01
17,401426531,UTEP,2638,loser,13,22.0,0.3888888888888889,0.3333333333333333,400.0,293.0,0.4375,6.1,107.0,30.0,3.6,5,50,1.0,1.0,0.0,28:35
19,401409235,New Mexico St,166,loser,12,16.0,0.4166666666666667,0.0,303.0,218.0,0.5294117647058824,6.4,85.0,25.0,3.4,8,55,5.0,1.0,4.0,28:16
21,401403853,Hawai’i,62,loser,10,20.0,0.3125,0.0,358.0,250.0,0.509090909090909,4.5,108.0,26.0,4.2,8,72,2.0,2.0,0.0,28:57
22,401416568,St Francis PA,2598,loser,23,18.0,0.25,1.0,453.0,264.0,0.6176470588235294,7.8,189.0,40.0,4.7,10,62,1.0,0.0,1.0,32:46
24,401411092,West Virginia,277,loser,31,23.0,0.5,0.0,404.0,214.0,0.575,5.4,190.0,33.0,5.8,11,72,2.0,1.0,1.0,27:29
26,401426533,Bryant,2803,loser,37,28.0,0.5882352941176471,1.0,470.0,349.0,0.7073170731707317,8.5,121.0,37.0,3.3,15,130,1.0,1.0,0.0,38:18
28,401415610,SC State,2569,loser,10,9.0,0.125,0.5,91.0,56.0,0.30434782608695654,2.4,35.0,33.0,1.1,7,40,1.0,0.0,1.0,29:16
30,401403864,Ball State,2050,loser,10,17.0,0.35714285714285715,0.0,343.0,269.0,0.627906976744186,6.3,74.0,27.0,2.7,12,83,3.0,1.0,2.0,30:05
32,401416569,C Michigan,2117,loser,44,31.0,0.26666666666666666,0.5,546.0,424.0,0.7346938775510204,8.7,122.0,39.0,3.1,7,68,1.0,0.0,1.0,36:08
34,401441990,Long Island,2341,loser,0,7.0,0.1875,0.0,113.0,68.0,0.5384615384615384,2.6,45.0,34.0,1.3,10,54,1.0,0.0,1.0,29:52
36,401411093,VMI,2678,loser,10,13.0,0.2222222222222222,0.5,222.0,139.0,0.5277777777777778,3.9,83.0,32.0,2.6,4,24,1.0,1.0,0.0,28:13
38,401416592,E Illinois,2197,loser,27,25.0,0.6666666666666666,0.0,441.0,276.0,0.7142857142857143,7.9,165.0,30.0,5.5,8,70,2.0,0.0,2.0,30:27
41,401405064,Purdue,2509,loser,31,26.0,0.3125,1.0,426.0,365.0,0.5084745762711864,6.2,61.0,22.0,2.8,9,92,1.0,1.0,0.0,29:16
42,401426537,Louisiana Tech,2348,loser,24,19.0,0.35294117647058826,0.0,347.0,336.0,0.5869565217391305,7.3,8.0,22.0,0.4,9,65,3.0,0.0,3.0,28:28
44,401426534,Alabama A&M,2010,loser,0,15.0,0.2,0.5,235.0,137.0,0.48484848484848486,4.2,98.0,39.0,2.5,4,45,4.0,1.0,3.0,30:00
46,401405060,New Mexico St,166,loser,0,6.0,0.2222222222222222,0.0,91.0,53.0,0.3333333333333333,4.4,38.0,21.0,1.8,5,35,1.0,0.0,1.0,15:30
48,401403965,N Arizona,2464,loser,3,7.0,0.2,0.0,120.0,97.0,0.6666666666666666,3.2,23.0,23.0,1.0,5,52,2.0,0.0,2.0,23:49
50,401415213,Portland St,2502,loser,17,24.0,0.38461538461538464,1.0,395.0,270.0,0.6486486486486487,7.3,125.0,35.0,3.6,7,60,3.0,1.0,2.0,37:48
52,401413224,Cal Poly,13,loser,7,17.0,0.2857142857142857,0.4,317.0,211.0,0.5263157894736842,5.6,106.0,30.0,3.5,8,36,0.0,0.0,0.0,26:19
54,401426330,Virginia Tech,259,loser,17,19.0,0.29411764705882354,0.0,333.0,197.0,0.5833333333333334,5.5,136.0,39.0,3.5,15,106,5.0,1.0,4.0,35:55
56,401416591,W Michigan,2711,loser,13,19.0,0.3333333333333333,0.6666666666666666,334.0,193.0,0.5833333333333334,5.4,141.0,37.0,3.8,8,76,2.0,2.0,0.0,37:22
59,401426535,Charlotte,2429,loser,24,22.0,0.4666666666666667,0.0,379.0,248.0,0.5483870967741935,8.0,131.0,37.0,3.5,9,83,0.0,0.0,0.0,27:55
60,401416590,E Kentucky,2198,loser,34,29.0,0.6666666666666666,1.0,492.0,351.0,0.6862745098039216,6.9,141.0,28.0,5.0,12,108,2.0,1.0,1.0,31:48
62,401411094,Temple,218,loser,0,12.0,0.35714285714285715,0.0,179.0,114.0,0.4827586206896552,3.9,65.0,29.0,2.2,4,40,2.0,2.0,0.0,24:36
64,401405061,Illinois,356,loser,20,29.0,0.5294117647058824,0.0,448.0,232.0,0.5833333333333334,6.4,216.0,54.0,4.0,8,81,4.0,3.0,1.0,36:33
66,401404052,Tennessee Tech,2635,loser,10,14.0,0.23529411764705882,1.0,190.0,97.0,0.5769230769230769,3.7,93.0,43.0,2.2,4,19,1.0,0.0,1.0,35:36
69,401403966,Colorado,38,loser,13,20.0,0.4,0.0,348.0,235.0,0.6341463414634146,5.7,113.0,29.0,3.9,5,30,0.0,0.0,0.0,33:18
71,401411095,App State,2026,loser,61,36.0,0.5,0.5,649.0,361.0,0.6944444444444444,10.0,288.0,43.0,6.7,7,80,1.0,0.0,1.0,32:03
73,401411096,East Carolina,151,loser,20,18.0,0.5294117647058824,0.0,383.0,267.0,0.6097560975609756,6.5,116.0,27.0,4.3,2,20,2.0,0.0,2.0,32:18
74,401404147,C Connecticut,2115,loser,3,14.0,0.25,0.0,242.0,164.0,0.5333333333333333,5.5,78.0,22.0,3.5,5,30,1.0,0.0,1.0,25:27
77,401415611,Navy,2426,loser,7,17.0,0.3125,0.0,319.0,135.0,0.38461538461538464,10.4,184.0,63.0,2.9,6,60,3.0,3.0,0.0,32:19
78,401405062,S Dakota St,2571,loser,3,6.0,0.1875,0.0,120.0,87.0,0.38461538461538464,3.3,33.0,31.0,1.1,12,66,0.0,0.0,0.0,29:44
80,401405067,Colorado St,36,loser,7,14.0,0.18181818181818182,0.25,219.0,137.0,0.8,6.9,82.0,39.0,2.1,0,0,2.0,1.0,1.0,29:30
82,401405066,Buffalo,2084,loser,10,18.0,0.3125,0.0,268.0,160.0,0.5142857142857142,4.6,108.0,38.0,2.8,3,30,0.0,0.0,0.0,32:53
85,401405069,Boston College,103,loser,21,18.0,0.4375,0.0,312.0,283.0,0.5609756097560976,6.9,29.0,28.0,1.0,5,40,3.0,1.0,2.0,27:37
86,401403865,Sam Houston,2534,loser,0,10.0,0.08333333333333333,1.0,198.0,91.0,0.5,3.3,107.0,27.0,4.0,7,70,2.0,1.0,1.0,27:37
88,401411100,Richmond,257,loser,17,20.0,0.35714285714285715,0.0,330.0,160.0,0.6764705882352942,4.7,170.0,35.0,4.9,4,55,0.0,0.0,0.0,27:12
90,401415209,Northern Iowa,2460,loser,17,21.0,0.25,0.0,405.0,286.0,0.625,8.9,119.0,24.0,5.0,2,15,2.0,1.0,1.0,24:58
92,401404057,SE Missouri St,2546,loser,10,15.0,0.3333333333333333,0.5,320.0,222.0,0.5,5.8,98.0,22.0,4.5,9,100,1.0,0.0,1.0,27:25
94,401403971,Bowling Green,189,loser,17,9.0,0.125,0.6666666666666666,162.0,125.0,0.4722222222222222,3.5,37.0,25.0,1.5,5,45,1.0,1.0,0.0,25:12
97,401403967,San Diego St,21,loser,20,14.0,0.18181818181818182,1.0,232.0,62.0,0.4375,3.9,170.0,42.0,4.0,6,37,2.0,1.0,1.0,27:23
99,401426542,UTSA,2636,loser,35,24.0,0.4166666666666667,0.0,441.0,337.0,0.6222222222222222,7.5,104.0,28.0,3.7,6,54,1.0,0.0,1.0,24:33
100,401405063,North Dakota,155,loser,17,18.0,0.4,0.5,306.0,131.0,0.6486486486486487,3.5,175.0,33.0,5.3,6,70,1.0,1.0,0.0,36:01
102,401415211,Tulsa,202,loser,37,25.0,0.47368421052631576,0.0,521.0,460.0,0.5769230769230769,8.8,61.0,32.0,1.9,7,65,2.0,2.0,0.0,30:45
104,401403855,Cincinnati,2132,loser,24,24.0,0.5,1.0,438.0,325.0,0.6046511627906976,7.6,113.0,31.0,3.6,10,65,2.0,1.0,1.0,31:24
106,401411097,Bethune,2065,loser,13,13.0,0.35714285714285715,0.0,342.0,249.0,0.5185185185185185,9.2,93.0,29.0,3.2,13,95,3.0,0.0,3.0,30:15
108,401426541,UTEP,2638,loser,13,26.0,0.3333333333333333,0.5,316.0,288.0,0.6078431372549019,5.6,28.0,31.0,0.9,6,50,1.0,0.0,1.0,38:33
110,401403858,Oregon,2483,loser,3,21.0,0.4666666666666667,0.6666666666666666,313.0,173.0,0.5675675675675675,4.7,140.0,31.0,4.5,5,35,2.0,0.0,2.0,28:50
112,401415015,Norfolk St,2450,loser,3,5.0,0.08333333333333333,0.0,114.0,84.0,0.42857142857142855,6.0,30.0,31.0,1.0,3,14,1.0,0.0,1.0,23:51
114,401403968,UC Davis,302,loser,13,19.0,0.3888888888888889,0.6,387.0,242.0,0.64,4.8,145.0,27.0,5.4,3,31,2.0,0.0,2.0,30:01
117,401415612,South Florida,58,loser,21,12.0,0.25,0.4,279.0,172.0,0.5666666666666667,5.7,107.0,27.0,4.0,3,25,1.0,0.0,1.0,25:17
118,401403860,Troy,2653,loser,10,20.0,0.35294117647058826,0.4,346.0,286.0,0.7291666666666666,6.0,60.0,33.0,1.8,6,37,2.0,1.0,1.0,36:58
120,401421116,Nicholls,2447,loser,7,10.0,0.15384615384615385,0.0,165.0,106.0,0.5357142857142857,3.8,59.0,27.0,2.2,2,9,2.0,1.0,1.0,25:11
122,401415212,Texas St,326,loser,14,15.0,0.4,0.0,282.0,293.0,0.6538461538461539,5.6,-11.0,25.0,-0.4,10,97,4.0,2.0,2.0,30:33
124,401426540,Rice,242,loser,14,14.0,0.3125,0.3333333333333333,280.0,134.0,0.5,4.8,146.0,34.0,4.3,4,55,4.0,0.0,4.0,32:52
126,401420777,Morgan St,2415,loser,7,12.0,0.15384615384615385,0.0,250.0,78.0,0.37037037037037035,2.9,172.0,32.0,5.4,7,60,4.0,1.0,3.0,30:15
128,401426538,MTSU,2393,loser,7,10.0,0.25,0.0,119.0,107.0,0.5757575757575758,3.2,12.0,28.0,0.4,5,43,1.0,1.0,0.0,23:05
130,401426536,FAU,2226,loser,38,25.0,0.5384615384615384,0.0,478.0,364.0,0.5714285714285714,8.7,114.0,29.0,3.9,8,90,2.0,2.0,0.0,24:19
132,401404134,Army,349,loser,28,11.0,0.4166666666666667,0.6666666666666666,344.0,142.0,0.5,17.8,202.0,39.0,5.2,6,47,1.0,0.0,1.0,23:44
134,401405065,Illinois St,2287,loser,0,14.0,0.2727272727272727,0.0,243.0,186.0,0.6666666666666666,7.8,57.0,26.0,2.2,4,25,2.0,0.0,2.0,29:02
137,401404157,Southern Miss,2572,loser,27,19.0,0.25,0.0,389.0,137.0,0.38461538461538464,10.5,252.0,54.0,4.7,10,77,5.0,2.0,3.0,30:54
138,401421121,SE Louisiana,2545,loser,7,12.0,0.4,0.3333333333333333,260.0,149.0,0.6285714285714286,4.3,111.0,27.0,4.1,8,60,2.0,0.0,2.0,29:04
140,401414778,UMass,113,loser,10,14.0,0.3888888888888889,0.6666666666666666,217.0,17.0,0.36363636363636365,1.5,200.0,58.0,3.4,7,77,3.0,0.0,3.0,33:15
142,401404056,South Dakota,233,loser,0,13.0,0.3125,0.0,270.0,139.0,0.5294117647058824,4.1,131.0,35.0,3.7,9,75,1.0,0.0,1.0,27:41
144,401403866,Elon,2210,loser,31,23.0,0.26666666666666666,0.0,495.0,343.0,0.5882352941176471,10.1,152.0,42.0,3.6,6,54,1.0,1.0,0.0,34:29
146,401403856,Mercer,2382,loser,16,15.0,0.4444444444444444,0.0,271.0,197.0,0.5833333333333334,5.5,74.0,31.0,2.4,10,70,0.0,0.0,0.0,32:03
148,401425418,Grambling,2755,loser,3,9.0,0.15384615384615385,1.0,102.0,52.0,0.2222222222222222,2.9,50.0,33.0,1.5,15,132,1.0,0.0,1.0,24:06
150,401424416,UAlbany,399,loser,10,10.0,0.29411764705882354,0.0,237.0,150.0,0.43333333333333335,5.0,87.0,30.0,2.9,10,72,1.0,1.0,0.0,30:28
