,Game ID,Team,Team ID,Result,Final Score,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,Penalties,Penalty Yards,turnovers,fumblesLost,interceptions,possessionTime
1,401426532,Western KY,98,winner,38,19.0,0.35714285714285715,1.0,383.0,276.0,0.5757575757575758,8.4,107.0,32.0,3.3,8,86,1.0,0.0,1.0,27:31
3,401405059,Northwestern,77,winner,31,25.0,0.4117647058823529,1.0,528.0,314.0,0.7105263157894737,8.3,214.0,47.0,4.6,8,65,1.0,1.0,0.0,34:14
5,401413256,UNLV,2439,winner,52,23.0,0.5,0.5,554.0,405.0,0.7428571428571429,11.6,149.0,33.0,4.5,7,65,0.0,0.0,0.0,30:24
7,401405058,Illinois,356,winner,38,26.0,0.4375,0.5,475.0,217.0,0.75,5.4,258.0,41.0,6.3,7,80,0.0,0.0,0.0,36:36
9,401404146,Utah State,328,winner,31,31.0,0.4,0.0,542.0,281.0,0.6451612903225806,9.1,261.0,54.0,4.8,6,60,2.0,2.0,0.0,31:43
11,401411090,Florida St,52,winner,47,33.0,0.5,0.5,638.0,232.0,0.6363636363636364,10.5,406.0,54.0,7.5,5,55,1.0,0.0,1.0,35:13
13,401426530,FAU,2226,winner,43,26.0,0.5,1.0,482.0,264.0,0.68,10.6,218.0,49.0,4.4,6,54,0.0,0.0,0.0,34:56
15,401411091,North Carolina,153,winner,56,29.0,0.5833333333333334,0.6666666666666666,608.0,294.0,0.7631578947368421,7.7,314.0,40.0,7.9,5,45,0.0,0.0,0.0,31:04
16,401426531,North Texas,249,winner,31,24.0,0.5,1.0,399.0,236.0,0.5517241379310345,8.1,163.0,41.0,4.0,6,65,1.0,1.0,0.0,31:25
18,401409235,Nevada,2440,winner,23,18.0,0.47058823529411764,0.0,257.0,78.0,0.6086956521739131,3.4,179.0,45.0,4.0,6,65,0.0,0.0,0.0,31:44
20,401403853,Vanderbilt,238,winner,63,28.0,0.45454545454545453,0.2,601.0,197.0,0.5714285714285714,7.0,404.0,44.0,9.2,5,60,0.0,0.0,0.0,31:03
23,401416568,Akron,2006,winner,30,19.0,0.26666666666666666,0.5,384.0,286.0,0.5945945945945946,7.7,98.0,33.0,3.0,4,42,0.0,0.0,0.0,27:14
25,401411092,Pitt,221,winner,38,19.0,0.4166666666666667,0.0,384.0,308.0,0.6666666666666666,12.8,76.0,38.0,2.0,8,76,1.0,1.0,0.0,32:31
27,401426533,FIU,2229,winner,38,27.0,0.26666666666666666,0.6666666666666666,377.0,310.0,0.5769230769230769,6.0,67.0,26.0,2.6,8,70,0.0,0.0,0.0,21:42
29,401415610,UCF,2116,winner,56,29.0,0.6,1.0,605.0,308.0,0.625,9.6,297.0,49.0,6.1,10,85,1.0,1.0,0.0,30:44
31,401403864,Tennessee,2633,winner,59,32.0,0.38461538461538464,1.0,569.0,351.0,0.7714285714285715,10.0,218.0,51.0,4.3,6,48,1.0,1.0,0.0,29:55
33,401416569,Oklahoma St,197,winner,58,28.0,0.25,0.0,531.0,406.0,0.6829268292682927,9.9,125.0,32.0,3.9,5,45,0.0,0.0,0.0,23:52
35,401441990,Toledo,2649,winner,37,21.0,0.26666666666666666,0.6666666666666666,437.0,211.0,0.7586206896551724,7.3,226.0,46.0,4.9,9,74,1.0,0.0,1.0,30:08
37,401411093,Wake Forest,154,winner,44,24.0,0.47058823529411764,0.0,506.0,294.0,0.7272727272727273,8.9,212.0,41.0,5.2,7,69,0.0,0.0,0.0,31:47
39,401416592,N Illinois,2459,winner,34,19.0,0.5454545454545454,0.0,379.0,192.0,0.6363636363636364,8.7,187.0,34.0,5.5,7,73,0.0,0.0,0.0,29:33
40,401405064,Penn State,213,winner,35,24.0,0.35714285714285715,1.0,406.0,308.0,0.5365853658536586,7.5,98.0,32.0,3.1,5,56,1.0,0.0,1.0,30:44
43,401426537,Missouri,142,winner,52,29.0,0.5,0.5,558.0,235.0,0.6666666666666666,7.8,323.0,50.0,6.5,10,100,2.0,1.0,1.0,31:32
45,401426534,UAB,5,winner,59,25.0,0.4444444444444444,0.5,478.0,247.0,0.6666666666666666,9.1,231.0,36.0,6.4,9,75,1.0,0.0,1.0,30:00
47,401405060,Minnesota,135,winner,38,31.0,0.7857142857142857,0.0,485.0,188.0,0.6956521739130435,8.2,297.0,57.0,5.2,3,35,0.0,0.0,0.0,44:30
49,401403965,Arizona St,9,winner,40,24.0,0.3076923076923077,0.5,419.0,152.0,0.7222222222222222,8.4,267.0,49.0,5.4,5,45,1.0,1.0,0.0,36:10
51,401415213,San José St,23,winner,21,17.0,0.3333333333333333,0.0,288.0,239.0,0.5,8.0,49.0,29.0,1.7,3,40,0.0,0.0,0.0,22:12
53,401413224,Fresno St,278,winner,35,33.0,0.5,1.0,549.0,377.0,0.8372093023255814,8.8,172.0,33.0,5.2,6,65,0.0,0.0,0.0,33:41
55,401426330,Old Dominion,295,winner,20,14.0,0.13333333333333333,0.5,249.0,165.0,0.4,4.7,84.0,33.0,2.5,6,65,2.0,2.0,0.0,24:05
57,401416591,Michigan St,127,winner,35,20.0,0.3,1.0,430.0,233.0,0.5,9.7,197.0,32.0,6.2,2,30,2.0,1.0,1.0,22:38
58,401426535,William & Mary,2729,winner,41,25.0,0.2727272727272727,1.0,559.0,256.0,0.6842105263157895,13.5,303.0,47.0,6.4,7,80,0.0,0.0,0.0,32:05
61,401416590,E Michigan,2199,winner,42,23.0,0.5454545454545454,0.0,395.0,271.0,0.7,9.0,124.0,33.0,3.8,6,59,2.0,1.0,1.0,28:12
63,401411094,Duke,150,winner,30,25.0,0.1111111111111111,1.0,500.0,328.0,0.8,10.9,172.0,35.0,4.9,6,50,0.0,0.0,0.0,35:24
65,401405061,Indiana,84,winner,23,20.0,0.5263157894736842,0.0,362.0,330.0,0.5384615384615384,6.3,32.0,26.0,1.2,3,35,2.0,1.0,1.0,23:27
67,401404052,Kansas,2305,winner,56,21.0,0.75,0.0,502.0,205.0,0.8421052631578947,10.8,297.0,30.0,9.9,4,40,3.0,2.0,1.0,24:24
68,401403966,TCU,2628,winner,38,17.0,0.45454545454545453,1.0,413.0,138.0,0.6521739130434783,6.0,275.0,30.0,9.2,7,60,0.0,0.0,0.0,26:42
70,401411095,North Carolina,153,winner,63,29.0,0.6428571428571429,1.0,567.0,352.0,0.6666666666666666,9.8,215.0,35.0,6.1,12,130,1.0,1.0,0.0,27:57
