,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
4,4,401212484,2020,1,regular,2020-09-05T20:30:00.000Z,False,True,False,False,7500.0,3644,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,24,"[0, 14, 7, 3]",0.0463854955767336,1193.0,1206.0,2567,SMU,fbs,American Athletic,31,"[0, 14, 14, 3]",0.9536145044232665,1557.0,1544.0,3.2882211247,https://www.youtube.com/watch?v=DV-qRe8YnqI,,-7,True
10,10,401236053,2020,2,regular,2020-09-12T16:00:00.000Z,False,True,False,False,11041.0,3636,Bill Snyder Family Stadium,2306,Kansas State,fbs,Big 12,31,"[7, 14, 0, 10]",0.3652594357684556,1632.0,1611.0,2032,Arkansas State,fbs,Sun Belt,35,"[7, 7, 7, 14]",0.6347405642315445,1427.0,1448.0,7.1983025295,https://www.youtube.com/watch?v=9uqT7ZS3UU4,,-4,True
17,17,401207113,2020,2,regular,2020-09-12T19:30:00.000Z,False,True,False,False,7500.0,3644,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,48,"[7, 0, 14, 20, 7, 0]",0.0844811674725982,1206.0,1202.0,2636,UTSA,fbs,Conference USA,51,"[7, 17, 7, 10, 7, 3]",0.9155188325274016,1222.0,1226.0,8.0968410558,https://www.youtube.com/watch?v=7GU7CHm_VJw,,-3,True
18,18,401234563,2020,2,regular,2020-09-12T20:00:00.000Z,False,True,False,True,17538.0,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,13,"[10, 0, 3, 0]",0.0448089078626891,1496.0,1482.0,59,Georgia Tech,fbs,ACC,16,"[0, 0, 7, 9]",0.9551910921373108,1341.0,1355.0,5.8038345134,https://www.youtube.com/watch?v=9nMuP7T_Dy4,,-3,True
20,20,401215298,2020,2,regular,2020-09-12T20:14:00.000Z,False,True,False,False,5789.0,3608,Allen E. Paulson Stadium,290,Georgia Southern,fbs,Sun Belt,27,"[3, 3, 7, 14]",0.6910924092647663,,,2097,Campbell,fcs,Big South,26,"[13, 0, 7, 6]",0.3089075907352336,,,6.9344930237,https://www.youtube.com/watch?v=b3dRqtBzX8g,,1,True
23,23,401239973,2020,2,regular,2020-09-12T23:30:00.000Z,False,True,False,False,6000.0,6526,Hancock Whitney Stadium,6,South Alabama,fbs,Sun Belt,24,"[0, 14, 10, 0]",0.6304398648486921,1272.0,1282.0,2655,Tulane,fbs,American Athletic,27,"[0, 6, 7, 14]",0.3695601351513079,1531.0,1521.0,8.4177973424,https://www.youtube.com/watch?v=UvWJEWeeKpY,,-3,True
27,27,401236039,2020,2,regular,2020-09-13T00:00:00.000Z,False,True,False,False,11157.0,3784,Jones AT&T Stadium,2641,Texas Tech,fbs,Big 12,35,"[14, 7, 7, 7]",0.9461823888211376,,,2277,Houston Christian,fcs,Southland,33,"[3, 7, 10, 13]",0.0538176111788625,,,2.1597584691,https://www.youtube.com/watch?v=HSFruLzEXFE,,2,True
30,30,401207124,2020,3,regular,2020-09-19T16:00:00.000Z,False,True,False,False,4276.0,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,24,"[0, 10, 7, 7]",0.3407499434847815,1480.0,1462.0,2335,Liberty,fbs,FBS Independents,30,"[10, 7, 7, 6]",0.6592500565152185,1390.0,1408.0,5.9776053659,https://www.youtube.com/watch?v=MyVKtxdkIOI,,-6,True
34,34,401212522,2020,3,regular,2020-09-19T16:00:00.000Z,False,True,False,True,,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,24,"[10, 14, 0, 0]",0.0723474471043792,1521.0,1511.0,2426,Navy,fbs,American Athletic,27,"[0, 0, 16, 8]",0.9276525528956208,1438.0,1448.0,4.6042706648,https://www.youtube.com/watch?v=LVI5o_-jevU,,-3,True
36,36,401215301,2020,3,regular,2020-09-19T16:00:00.000Z,False,True,False,True,4126.0,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,31,"[7, 7, 7, 7, 3]",0.3222465789124114,1305.0,1322.0,309,Louisiana,fbs,Sun Belt,34,"[0, 7, 14, 7, 6]",0.6777534210875886,1693.0,1676.0,10.516580686,https://www.youtube.com/watch?v=OCBawXf_fu8,,-3,True
44,44,401207106,2020,3,regular,2020-09-19T23:30:00.000Z,False,True,False,True,,3815,M. M. Roberts Stadium,2572,Southern Miss,fbs,Conference USA,30,"[0, 13, 14, 3]",0.3242881751063417,1406.0,1411.0,2348,Louisiana Tech,fbs,Conference USA,31,"[7, 3, 14, 7]",0.6757118248936582,1536.0,1531.0,5.5944485365,https://www.youtube.com/watch?v=saOif_KkA-Q,,-1,True
47,47,401234570,2020,3,regular,2020-09-20T00:00:00.000Z,False,True,False,True,350.0,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,45,"[14, 7, 14, 10]",0.4079464951767433,1347.0,1350.0,154,Wake Forest,fbs,ACC,42,"[7, 14, 14, 7]",0.5920535048232567,1506.0,1503.0,9.813293487,https://www.youtube.com/watch?v=UriCpKUUSKI,,3,True
48,48,401239885,2020,3,regular,2020-09-20T01:00:00.000Z,False,True,False,False,6056.0,3946,Sun Bowl,2638,UTEP,fbs,Conference USA,17,"[0, 10, 0, 7]",0.6199715365866015,,,2000,Abilene Christian,fcs,Southland,13,"[7, 0, 3, 3]",0.3800284634133984,,,5.6544768066,https://www.youtube.com/watch?v=XusNW9NxWTs,,4,True
50,50,401207134,2020,4,regular,2020-09-26T00:00:00.000Z,False,True,False,False,6182.0,3604,Alamodome,2636,UTSA,fbs,Conference USA,37,"[0, 17, 17, 3]",0.0272758891961493,1226.0,1227.0,2393,Middle Tennessee,fbs,Conference USA,35,"[3, 7, 13, 12]",0.9727241108038506,1229.0,1228.0,7.2759253539,https://www.youtube.com/watch?v=fKrNkX5njMw,,2,True
54,54,401215303,2020,4,regular,2020-09-26T16:00:00.000Z,False,True,False,True,5585.0,3666,Cajun Field,309,Louisiana,fbs,Sun Belt,20,"[0, 7, 3, 10]",0.1860035900548996,1676.0,1674.0,290,Georgia Southern,fbs,Sun Belt,18,"[0, 7, 3, 8]",0.8139964099451004,1465.0,1467.0,6.8051293194,https://www.youtube.com/watch?v=V3TeKps8HmE,,2,True
56,56,401235996,2020,4,regular,2020-09-26T16:00:00.000Z,False,True,False,True,22700.0,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,Big 12,35,"[7, 14, 14, 0]",0.5064151754076845,1771.0,1756.0,2306,Kansas State,fbs,Big 12,38,"[0, 7, 14, 17]",0.4935848245923154,1611.0,1626.0,2.5534931328,https://www.youtube.com/watch?v=G_mCOVSc-kc,,-3,True
57,57,401234595,2020,4,regular,2020-09-26T16:00:00.000Z,False,True,False,True,0.0,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,23,"[13, 7, 3, 0]",0.7919969600629284,1518.0,1518.0,97,Louisville,fbs,ACC,20,"[7, 10, 3, 0]",0.2080030399370716,1451.0,1451.0,7.1413906815,https://www.youtube.com/watch?v=yOFDQxoB9dA,,3,True
59,59,401207126,2020,4,regular,2020-09-26T17:00:00.000Z,False,True,False,False,1000.0,3992,Williams Stadium (VA),2335,Liberty,fbs,FBS Independents,36,"[14, 0, 13, 9]",0.5025595565425557,1408.0,1408.0,2229,Florida International,fbs,Conference USA,34,"[14, 0, 14, 6]",0.4974404434574443,1383.0,1383.0,7.1424725496,https://www.youtube.com/watch?v=-t6OXsJ8uNc,,2,True
60,60,401235994,2020,4,regular,2020-09-26T17:30:00.000Z,False,True,False,True,11852.0,3616,Amon G. Carter Stadium,2628,TCU,fbs,Big 12,34,"[0, 7, 14, 13]",0.2317076453479792,1583.0,1581.0,66,Iowa State,fbs,Big 12,37,"[0, 16, 7, 14]",0.7682923546520208,1621.0,1623.0,7.792093109,https://www.youtube.com/watch?v=eDdSB3TcX90,,-3,True
65,65,401235995,2020,4,regular,2020-09-26T19:30:00.000Z,False,True,False,True,16615.0,3784,Jones AT&T Stadium,2641,Texas Tech,fbs,Big 12,56,"[7, 14, 21, 14, 0]",0.1151334023496839,1525.0,1534.0,251,Texas,fbs,Big 12,63,"[17, 14, 7, 18, 7]",0.8848665976503161,1833.0,1824.0,6.1244761314,https://www.youtube.com/watch?v=rPH6jTqDgL4,,-7,True
68,68,401241303,2020,4,regular,2020-09-26T22:00:00.000Z,False,True,False,False,0.0,3615,"Alumni Stadium (Chestnut Hill, MA)",103,Boston College,fbs,ACC,24,"[0, 7, 7, 10]",0.2571494898611746,1510.0,1508.0,326,Texas State,fbs,Sun Belt,21,"[7, 7, 7, 0]",0.7428505101388254,1263.0,1265.0,8.0038186235,https://www.youtube.com/watch?v=rhCpLJOUlb4,,3,True
73,73,401237037,2020,4,regular,2020-09-26T23:30:00.000Z,False,True,False,True,24073.0,3795,Kyle Field,245,Texas A&M,fbs,SEC,17,"[7, 0, 7, 3]",0.9952237794584812,1647.0,1638.0,238,Vanderbilt,fbs,SEC,12,"[3, 2, 7, 0]",0.0047762205415187,1289.0,1298.0,2.7808650362,https://www.youtube.com/watch?v=sGUDgOOQAl4,,5,True
75,75,401237036,2020,4,regular,2020-09-26T23:30:00.000Z,False,True,False,True,15009.0,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,27,"[7, 0, 14, 6]",0.2002121574726512,1498.0,1495.0,2633,Tennessee,fbs,SEC,31,"[7, 7, 10, 7]",0.7997878425273488,1545.0,1548.0,7.2541515894,https://www.youtube.com/watch?v=r5dPu1GdcQ8,,-4,True
83,83,401235998,2020,5,regular,2020-10-03T16:00:00.000Z,False,True,False,True,978.0,3842,Milan Puskar Stadium,277,West Virginia,fbs,Big 12,27,"[7, 0, 7, 0, 7, 6]",0.949479656659022,1487.0,1509.0,239,Baylor,fbs,Big 12,21,"[0, 7, 0, 7, 7, 0]",0.0505203433409781,1756.0,1734.0,8.5007448642,https://www.youtube.com/watch?v=0IfFlOboM7w,,6,True
85,85,401236002,2020,5,regular,2020-10-03T16:00:00.000Z,False,True,False,True,17753.0,3910,DKR-Texas Memorial Stadium,251,Texas,fbs,Big 12,31,"[7, 7, 7, 10]",0.2280919232432254,1824.0,1807.0,2628,TCU,fbs,Big 12,33,"[7, 13, 3, 10]",0.7719080767567745,1581.0,1598.0,9.3606579599,https://www.youtube.com/watch?v=9ylDmMDswto,,-2,True
