Id,Season,HomeTeam,HomePoints,AwayTeam,AwayPoints,PointDiff
401013032,2018,Texas,23,Baylor,17,6
401012883,2018,Penn State,17,Michigan State,21,4
401012766,2018,Oregon,30,Washington,27,3
401022535,2018,Colorado State,20,New Mexico,18,2
401013147,2018,North Carolina,19,Virginia Tech,22,3
401013146,2018,Virginia,16,Miami,13,3
401015014,2018,Florida International,24,Middle Tennessee,21,3
401012308,2018,Arkansas,33,Ole Miss,37,4
401022534,2018,Nevada,27,Boise State,31,4
401012768,2018,Arizona State,13,Stanford,20,7
401022539,2018,UNLV,35,Air Force,41,6
401013371,2018,Army,31,Miami (OH),30,1
401012846,2018,Rutgers,15,Northwestern,18,3
401019510,2018,Temple,24,Cincinnati,17,7
401013152,2018,Syracuse,40,North Carolina,37,3
401013453,2018,Liberty,48,Idaho State,41,7
401022540,2018,Wyoming,16,Utah State,24,8
401015019,2018,Middle Tennessee,21,Charlotte,13,8
401020761,2018,Kent State,23,Akron,24,1
401012857,2018,Indiana,28,Penn State,33,5
401015022,2018,Louisiana Tech,31,UTEP,24,7
401019513,2018,Tulane,23,SMU,27,4
401019511,2018,South Florida,38,UConn,30,8
401021678,2018,UL Monroe,20,Texas State,14,6
401015023,2018,UAB,29,North Texas,21,8
401015024,2018,Western Kentucky,34,Old Dominion,37,3
401012314,2018,Kentucky,14,Vanderbilt,7,7
401012769,2018,UCLA,31,Arizona,30,1
401022543,2018,San Diego State,16,San José State,13,3
401015028,2018,Florida Atlantic,13,Louisiana Tech,21,8
401012858,2018,Minnesota,38,Indiana,31,7
401020768,2018,Akron,17,Central Michigan,10,7
401013364,2018,UConn,17,Massachusetts,22,5
401021682,2018,Georgia State,34,Coastal Carolina,37,3
401015026,2018,Charlotte,20,Southern Miss,17,3
401013053,2018,Kansas,27,TCU,26,1
401012777,2018,Colorado,34,Oregon State,41,7
401016409,2018,BYU,6,Northern Illinois,7,1
401012868,2018,Penn State,30,Iowa,24,6
401012776,2018,USC,35,Arizona State,38,3
401019514,2018,SMU,20,Cincinnati,26,6
401012322,2018,Missouri,14,Kentucky,15,1
401012778,2018,California,12,Washington,10,2
401013444,2018,Texas State,27,New Mexico State,20,7
401021681,2018,Louisiana,47,Arkansas State,43,4
401019516,2018,Tulsa,17,Tulane,24,7
401012779,2018,Stanford,38,Washington State,41,3
401012323,2018,South Carolina,27,Tennessee,24,3
401013320,2018,Oklahoma State,38,Texas,35,3
401022548,2018,Nevada,28,San Diego State,24,4
401020769,2018,Bowling Green,28,Kent State,35,7
401012780,2018,Arizona,42,Colorado,34,8
401013373,2018,Army,17,Air Force,14,3
401012328,2018,Ole Miss,44,South Carolina,48,4
401012324,2018,Auburn,28,Texas A&M,24,4
401013341,2018,Ohio State,36,Nebraska,31,5
401013034,2018,Baylor,35,Oklahoma State,31,4
401015033,2018,Southern Miss,26,Marshall,24,2
401013188,2018,Texas,41,West Virginia,42,1
401012869,2018,Purdue,38,Iowa,36,2
401013063,2018,TCU,14,Kansas State,13,1
401013365,2018,Massachusetts,62,Liberty,59,3
401015035,2018,Rice,26,UTEP,34,8
401013163,2018,Miami,12,Duke,20,8
401013069,2018,Texas Tech,46,Oklahoma,51,5
401012784,2018,Washington,27,Stanford,23,4
401022550,2018,New Mexico,23,San Diego State,31,8
401016410,2018,Boise State,21,BYU,16,5
