Id,HomeTeam,HomePoints,AwayTeam,AwayPoints
401643732,Wyoming,24.0,San Diego State,27.0
401644746,Central Michigan,25.0,Ohio,27.0
401628391,Tennessee,23.0,Florida,17.0
401645343,Florida Atlantic,37.0,North Texas,41.0
401643730,Fresno State,17.0,Washington State,25.0
401645344,Rice,29.0,UTSA,27.0
401643731,Nevada,42.0,Oregon State,37.0
401628388,LSU,29.0,Ole Miss,26.0
401628515,Oregon,32.0,Ohio State,31.0
401628387,Kentucky,13.0,Vanderbilt,20.0
401643804,Georgia Southern,24.0,Marshall,23.0
401635574,NC State,17.0,Syracuse,24.0
401628514,UCLA,17.0,Minnesota,21.0
401636894,Colorado,28.0,Kansas State,31.0
401641010,New Mexico State,33.0,Louisiana Tech,30.0
401634769,Duke,23.0,Florida State,16.0
401636898,BYU,38.0,Oklahoma State,35.0
401643735,Nevada,21.0,Fresno State,24.0
401629034,UConn,20.0,Wake Forest,23.0
401628524,Rutgers,32.0,UCLA,35.0
401628395,Missouri,21.0,Auburn,17.0
401635589,Louisville,45.0,Miami,52.0
401644750,Eastern Michigan,38.0,Central Michigan,34.0
401644749,Buffalo,41.0,Western Michigan,48.0
401635587,California,23.0,NC State,24.0
401644751,Northern Illinois,6.0,Toledo,13.0
401628397,Tennessee,24.0,Alabama,17.0
401628521,Maryland,29.0,USC,28.0
401643737,Utah State,45.0,New Mexico,50.0
401636900,Iowa State,38.0,UCF,35.0
401645349,Memphis,52.0,North Texas,44.0
401643734,Air Force,13.0,Colorado State,21.0
401643739,Oregon State,25.0,UNLV,33.0
401636903,Utah,7.0,TCU,13.0
401640984,Florida International,7.0,Sam Houston,10.0
401641011,Louisiana Tech,14.0,UTEP,10.0
401640993,Kennesaw State,27.0,Liberty,24.0
401634771,Boston College,27.0,Louisville,31.0
401643740,UNLV,24.0,Boise State,29.0
401628530,Ohio State,21.0,Nebraska,17.0
401645354,North Texas,37.0,Tulane,45.0
401645353,Memphis,33.0,Charlotte,28.0
401643816,App State,33.0,Georgia State,26.0
401635599,Stanford,24.0,Wake Forest,27.0
401629035,UConn,17.0,Rice,10.0
401645355,Tulsa,46.0,UTSA,45.0
401636910,TCU,35.0,Texas Tech,34.0
401644753,Ball State,25.0,Northern Illinois,23.0
401644752,Akron,25.0,Eastern Michigan,21.0
401628405,Vanderbilt,24.0,Texas,27.0
401643745,Wyoming,25.0,Utah State,27.0
401636905,Arizona,26.0,West Virginia,31.0
401636908,Houston,17.0,Utah,14.0
401643818,Arkansas State,34.0,Troy,31.0
401628529,Michigan,24.0,Michigan State,17.0
401636909,Kansas State,29.0,Kansas,27.0
401635595,Duke,27.0,SMU,28.0
401643744,San Diego State,26.0,Washington State,29.0
401643820,Texas State,17.0,Louisiana,23.0
401641012,Sam Houston,9.0,Louisiana Tech,3.0
401629036,UConn,34.0,Georgia State,27.0
401628533,Illinois,17.0,Minnesota,25.0
401628538,Purdue,20.0,Northwestern,26.0
401644758,Eastern Michigan,28.0,Toledo,29.0
401635604,Syracuse,38.0,Virginia Tech,31.0
401645359,UTSA,44.0,Memphis,36.0
401628539,Penn State,13.0,Ohio State,20.0
401643821,App State,28.0,Old Dominion,20.0
401643822,Marshall,28.0,UL Monroe,23.0
401641026,UTEP,13.0,Middle Tennessee,20.0
401636914,Iowa State,22.0,Texas Tech,23.0
401636913,Houston,24.0,Kansas State,19.0
401628537,Nebraska,20.0,UCLA,27.0
401643750,New Mexico,45.0,Wyoming,49.0
401643749,Fresno State,20.0,Hawai'i,21.0
401628540,Washington,26.0,USC,21.0
401643823,South Alabama,30.0,Georgia Southern,34.0
401636912,Baylor,37.0,TCU,34.0
401644688,Ball State,21.0,Miami (OH),27.0
401628542,UCLA,20.0,Iowa,17.0
401645362,Memphis,27.0,Rice,20.0
401643754,San Diego State,16.0,New Mexico,21.0
401628544,Rutgers,26.0,Minnesota,19.0
401635606,Boston College,37.0,Syracuse,31.0
401635609,Georgia Tech,28.0,Miami,23.0
401636918,Cincinnati,24.0,West Virginia,31.0
401629037,UAB,23.0,UConn,31.0
401628541,Indiana,20.0,Michigan,15.0
401641021,UTEP,43.0,Kennesaw State,35.0
401641004,Louisiana Tech,37.0,Jacksonville State,44.0
401636917,Arizona State,35.0,UCF,31.0
401628415,Missouri,30.0,Oklahoma,23.0
401635610,Pittsburgh,19.0,Virginia,24.0
401643752,Boise State,28.0,Nevada,21.0
401643753,Hawai'i,27.0,UNLV,29.0
401643751,Air Force,36.0,Fresno State,28.0
401636922,Utah,21.0,BYU,22.0
401644763,Buffalo,51.0,Ball State,48.0
401645365,Tulsa,31.0,East Carolina,38.0
401635582,Pittsburgh,20.0,Clemson,24.0
401641013,Western Kentucky,7.0,Louisiana Tech,12.0
401629046,Massachusetts,34.0,Liberty,35.0
401645369,Temple,18.0,Florida Atlantic,15.0
401640986,Jacksonville State,34.0,Florida International,31.0
401635581,California,25.0,Syracuse,33.0
401641022,Kennesaw State,17.0,Sam Houston,23.0
401635517,Stanford,38.0,Louisville,35.0
401643830,Georgia Southern,20.0,Troy,28.0
401628549,USC,28.0,Nebraska,20.0
401643833,Old Dominion,32.0,James Madison,35.0
401628423,South Carolina,34.0,Missouri,30.0
401643831,Georgia State,20.0,Arkansas State,27.0
401643834,Louisiana,22.0,South Alabama,24.0
401628551,Wisconsin,13.0,Oregon,16.0
401635583,North Carolina,31.0,Wake Forest,24.0
401643761,New Mexico,38.0,Washington State,35.0
401636924,BYU,13.0,Kansas,17.0
401644770,Central Michigan,16.0,Western Michigan,14.0
401634772,Georgia Tech,30.0,NC State,29.0
401628558,Michigan State,24.0,Purdue,17.0
401628554,Rutgers,31.0,Illinois,38.0
401628429,Florida,24.0,Ole Miss,17.0
401635518,Syracuse,31.0,UConn,24.0
401643839,Arkansas State,28.0,UL Monroe,21.0
401640987,Kennesaw State,27.0,Florida International,26.0
401636934,Oklahoma State,48.0,Texas Tech,56.0
401636930,Arizona State,28.0,BYU,23.0
401628559,Minnesota,25.0,Penn State,26.0
401635613,California,24.0,Stanford,21.0
401628572,Oregon State,41.0,Washington State,38.0
401643764,Wyoming,13.0,Boise State,17.0
401643842,Texas State,44.0,Georgia State,52.0
401643838,Old Dominion,35.0,Marshall,42.0
401636936,Utah,28.0,Iowa State,31.0
401628428,Auburn,43.0,Texas A&M,41.0
401628431,LSU,24.0,Vanderbilt,17.0
401635615,Duke,31.0,Virginia Tech,28.0
401628561,UCLA,13.0,USC,19.0
401643763,Nevada,19.0,Air Force,22.0
401643765,Fresno State,28.0,Colorado State,22.0
401644775,Akron,21.0,Toledo,14.0
